dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-07-01,36,5,3,1,2,1,6,0,6,11,0,0,0
2016-08-01,143,8,0,0,0,0,0,0,46,87,1,0,0
2016-09-01,113,8,5,0,5,1,0,0,64,94,0,0,0
2016-10-01,132,8,1,0,1,1,0,0,101,78,0,0,0
2016-11-01,131,9,3,0,3,1,0,10,140,219,37,10,1
2016-12-01,85,12,3,0,3,2,16,1,125,272,25,4,1
2017-01-01,21,7,0,0,0,0,0,3,74,169,33,2,0
2017-02-01,39,8,2,0,1,1,27,10,69,197,15,6,1
2017-03-01,20,6,2,0,3,1,23,8,49,197,22,8,2
2017-04-01,16,7,0,0,0,0,0,10,50,120,30,4,2
2017-05-01,12,6,2,0,0,0,6,6,23,64,18,2,1
2017-06-01,3,2,3,0,2,2,23,5,5,42,19,3,0
2017-07-01,29,8,22,1,24,6,95,7,55,247,19,7,0
2017-08-01,2,2,2,0,2,2,8,3,5,14,15,4,2
2017-09-01,12,3,12,0,12,3,42,5,24,140,19,3,1
2017-10-01,1,1,2,0,1,1,3,5,3,32,32,4,2
2017-11-01,10,5,10,0,9,4,46,3,14,43,33,4,1
2017-12-01,7,4,7,1,7,3,26,2,13,52,26,5,1
2018-01-01,1,1,1,0,1,1,2,3,5,15,23,5,1
2018-02-01,1,1,1,0,1,1,2,4,1,9,9,1,0
2018-03-01,3,2,3,0,3,1,8,3,11,36,19,6,0
2018-04-01,7,2,8,0,7,1,22,0,12,52,28,7,1
2018-05-01,0,0,3,2,0,0,19,3,4,13,13,4,0
2018-06-01,12,3,11,0,12,1,24,2,21,30,18,4,0
2018-07-01,2,2,4,0,2,2,20,2,3,13,67,9,0
2018-08-01,1,1,1,0,1,1,4,3,3,3,20,2,0
2018-09-01,2,2,1,0,2,1,9,3,3,6,21,3,0
2018-10-01,0,0,5,1,0,0,10,4,2,9,29,8,1
2018-11-01,7,5,4,0,7,1,22,1,9,34,17,7,1
2018-12-01,0,0,0,0,0,0,0,1,1,2,18,3,0
2019-01-01,0,0,1,0,0,0,3,1,0,0,11,4,0
2019-02-01,4,3,1,0,4,2,8,0,7,12,14,2,0
2019-03-01,6,1,5,0,4,1,13,3,12,35,29,8,1
2019-04-01,8,3,8,0,7,3,8,1,31,52,25,7,0
2019-05-01,0,0,0,0,0,0,0,2,6,16,19,9,0
2019-06-01,3,3,3,1,2,1,4,2,8,27,20,3,0
2019-07-01,3,3,5,0,3,3,8,3,5,3,17,5,0
2019-08-01,6,4,10,3,6,4,9,3,10,13,15,6,1
2019-09-01,18,2,24,4,18,2,61,7,88,200,27,6,0
2019-10-01,42,3,42,3,42,1,63,13,116,153,43,9,1
2019-11-01,19,2,21,3,19,2,17,2,59,70,26,14,0
2019-12-01,24,3,25,1,24,3,18,3,64,71,24,10,1
2020-01-01,14,2,15,0,14,2,20,12,42,74,16,8,0
2020-02-01,14,4,20,1,14,3,12,5,34,58,21,4,0
2020-03-01,19,4,17,4,19,2,28,10,49,59,24,10,0
2020-04-01,2,1,3,0,2,1,9,2,5,14,65,10,0
