dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-03-01,48,4,7,0,7,2,0,0,7,0,4,2,0
2015-04-01,53,2,8,0,7,2,0,0,7,0,0,0,0
2015-05-01,88,4,7,0,7,2,3,0,15,3,0,0,0
2015-06-01,237,4,43,1,43,2,5,0,46,4,1,0,2
2015-07-01,67,4,19,0,19,2,2,0,22,6,7,0,0
2015-08-01,139,3,48,1,47,2,4,0,60,18,0,0,0
2015-09-01,48,3,15,0,15,2,0,0,25,6,2,0,0
2015-10-01,130,3,34,0,33,2,2,0,40,16,4,3,0
2015-11-01,139,4,32,2,31,2,2,0,42,10,3,1,1
2015-12-01,200,3,47,0,45,2,10,0,61,26,4,2,1
2016-01-01,144,4,29,1,30,3,4,0,40,4,2,2,2
2016-02-01,152,4,53,4,47,4,6,0,60,23,63,13,0
2016-03-01,170,3,32,4,29,3,4,0,74,39,8,0,0
2016-04-01,110,3,6,0,6,3,0,0,49,5,4,3,0
2016-05-01,69,5,24,1,23,3,2,0,40,9,4,2,0
2016-06-01,93,5,20,1,18,2,10,0,23,8,9,3,1
2016-07-01,62,4,18,0,16,2,8,0,21,13,7,4,0
2016-08-01,83,4,22,2,18,3,13,0,28,9,7,1,0
2016-09-01,73,5,24,0,23,4,6,0,41,28,6,0,0
2016-10-01,34,4,10,2,9,2,2,0,22,4,11,1,0
2016-11-01,118,3,3,0,3,1,0,0,43,7,5,0,0
2016-12-01,129,3,3,3,3,1,3,1,34,16,2,0,0
2017-01-01,35,3,1,0,1,1,0,1,16,7,14,0,0
2017-02-01,111,3,7,0,6,2,0,1,48,18,7,1,0
2017-03-01,124,4,2,0,3,1,0,1,50,21,7,0,1
2017-04-01,167,5,11,1,7,2,4,0,37,8,6,1,0
2017-05-01,122,4,18,1,20,2,1,0,40,7,3,2,0
2017-06-01,145,4,34,1,32,2,32,1,45,26,5,2,0
2017-07-01,106,4,3,1,2,1,4,1,41,49,2,0,0
2017-08-01,83,5,2,1,2,1,6,3,41,44,7,0,0
2017-09-01,76,4,2,0,1,1,3,1,33,34,4,0,0
2017-10-01,124,3,6,3,4,1,14,2,67,83,9,1,0
2017-11-01,96,4,2,0,1,1,7,3,38,36,10,2,0
2017-12-01,35,3,1,0,1,1,6,0,19,22,7,1,0
2018-01-01,63,5,3,3,0,0,4,1,40,42,9,1,0
2018-02-01,89,5,0,0,0,0,0,0,18,20,5,0,0
2018-03-01,96,7,2,0,1,1,4,1,44,43,2,3,0
2018-04-01,96,5,0,1,0,0,2,0,42,37,7,1,0
2018-05-01,79,5,0,0,0,0,0,0,26,23,4,0,0
2018-06-01,108,6,2,0,1,1,2,2,25,24,0,1,0
2018-07-01,65,5,0,0,0,0,0,0,26,25,4,1,0
2018-08-01,85,4,1,0,0,0,3,0,15,14,8,0,0
2018-09-01,49,4,1,1,0,0,2,0,22,15,5,1,0
2018-10-01,84,5,16,1,14,2,21,0,25,13,2,2,0
2018-11-01,89,5,10,1,9,2,22,0,31,31,6,1,0
2018-12-01,43,4,2,0,3,1,5,0,15,11,7,1,0
2019-01-01,78,4,10,0,6,2,16,0,18,16,7,2,0
2019-02-01,112,5,6,1,9,3,10,0,38,31,7,0,0
2019-03-01,84,5,10,1,10,3,21,1,28,29,4,1,0
2019-04-01,140,5,23,2,20,3,39,1,39,30,4,2,0
2019-05-01,84,6,20,1,18,4,29,0,33,30,4,0,0
2019-06-01,84,5,7,0,10,3,8,0,33,20,7,1,0
2019-07-01,75,5,6,0,6,3,3,0,23,12,12,1,0
2019-08-01,93,6,1,2,1,1,2,1,25,7,10,2,0
2019-09-01,75,3,2,0,0,0,2,2,29,22,6,2,0
2019-10-01,41,3,0,0,0,0,0,0,14,11,9,3,0
2019-11-01,21,3,3,0,1,1,6,2,26,18,8,0,0
2019-12-01,52,6,4,0,4,1,11,1,22,15,4,1,0
2020-01-01,158,5,5,1,3,1,16,3,17,25,8,3,0
2020-02-01,22,5,3,0,4,2,3,1,11,6,6,1,0
2020-03-01,46,5,4,0,2,1,3,1,18,13,6,0,0
2020-04-01,19,3,2,0,1,1,1,0,6,6,9,2,0
