dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-03-01,178,3,1,0,1,1,0,0,6,0,8,1,4
2015-04-01,100,3,6,3,3,1,6,0,16,6,13,3,1
2015-05-01,51,2,3,2,1,1,6,0,5,3,16,2,3
2015-06-01,45,1,0,0,0,0,0,0,0,0,6,3,4
2015-07-01,97,1,1,1,0,0,2,0,3,1,17,8,1
2015-08-01,54,1,0,0,0,0,0,0,2,4,14,4,2
2015-09-01,94,1,0,0,0,0,0,0,5,0,26,5,3
2015-10-01,108,1,0,0,0,0,0,0,15,25,21,3,3
2015-11-01,75,1,0,0,0,0,0,0,2,1,19,7,1
2015-12-01,137,1,0,0,0,0,0,0,10,43,12,6,3
2016-01-01,187,2,1,0,1,1,2,0,28,11,20,4,3
2016-02-01,88,1,0,0,0,0,0,0,9,44,26,9,1
2016-03-01,253,1,2,1,0,0,4,0,36,17,23,6,1
2016-04-01,43,1,1,0,0,0,4,0,12,11,21,10,3
2016-05-01,131,2,7,3,5,1,28,0,41,24,19,4,2
2016-06-01,38,1,0,0,0,0,0,0,20,9,13,5,1
2016-07-01,79,1,0,0,0,0,0,0,29,33,15,2,3
2016-08-01,99,1,0,1,0,0,2,0,30,19,14,7,2
2016-09-01,128,3,6,2,4,1,8,0,49,27,12,3,0
2016-10-01,96,1,0,0,0,0,0,0,19,11,14,9,0
2016-11-01,91,2,2,1,1,1,2,0,31,2,61,11,1
2016-12-01,107,1,1,1,0,0,12,0,31,15,39,13,1
2017-01-01,151,2,2,1,1,1,10,0,49,45,26,9,0
2017-02-01,89,1,0,0,0,0,0,0,29,12,47,11,3
2017-03-01,141,2,0,0,0,0,0,0,43,23,25,12,3
2017-04-01,95,1,0,0,0,0,0,0,31,7,24,12,1
2017-05-01,144,1,0,0,0,0,0,0,65,13,29,5,1
2017-06-01,54,1,0,0,0,0,0,0,16,4,21,6,1
2017-07-01,97,1,0,0,0,0,0,1,35,9,40,10,3
2017-08-01,85,1,0,0,0,0,0,1,30,25,27,11,0
2017-09-01,75,1,0,0,0,0,0,0,21,39,30,16,0
2017-10-01,75,1,0,0,0,0,0,0,21,19,31,6,1
2017-11-01,83,2,1,0,1,1,2,0,28,10,37,20,1
2017-12-01,70,1,0,0,0,0,0,0,42,35,24,8,1
2018-01-01,148,1,0,0,0,0,0,0,66,23,35,20,0
2018-02-01,111,1,0,0,0,0,0,0,32,28,25,13,0
2018-03-01,89,2,1,0,1,1,2,1,37,18,27,18,0
2018-04-01,131,1,0,0,0,0,0,1,49,23,32,8,1
2018-05-01,125,1,0,0,0,0,0,1,52,10,34,12,2
2018-06-01,197,1,0,0,0,0,0,0,87,42,46,15,0
2018-07-01,146,1,0,0,0,0,0,3,62,14,36,6,3
2018-08-01,6,1,0,0,0,0,0,0,7,12,30,8,1
2018-09-01,42,2,1,0,1,1,0,2,21,24,26,8,2
2018-10-01,89,2,1,0,1,1,2,3,24,6,38,12,0
2018-11-01,44,1,0,0,0,0,0,1,9,22,49,17,2
2018-12-01,3,1,0,0,0,0,0,0,2,0,34,10,0
2019-01-01,17,2,1,0,1,1,0,0,6,1,34,12,1
2019-02-01,7,1,0,0,0,0,0,0,6,12,35,16,0
2019-03-01,18,1,0,0,0,0,0,0,8,6,50,27,1
2019-04-01,1,1,0,0,0,0,0,0,1,2,50,12,0
2019-05-01,17,3,2,0,2,1,0,1,6,6,31,15,0
2019-06-01,8,1,0,0,0,0,0,0,2,2,34,12,1
2019-07-01,10,2,2,0,2,1,0,1,6,16,40,23,0
2019-08-01,14,1,1,1,0,0,0,0,6,16,35,13,0
2019-09-01,10,1,2,2,0,0,0,0,30,48,34,12,1
2019-10-01,2,1,1,1,0,0,0,0,4,5,35,12,1
2019-11-01,2,1,0,0,0,0,0,2,1,5,34,12,0
2019-12-01,5,1,0,0,0,0,0,0,1,2,37,17,0
2020-01-01,7,3,3,1,2,1,4,0,4,2,33,13,0
2020-02-01,2,1,1,0,0,0,0,2,1,7,26,19,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,35,14,0
2020-04-01,2,1,0,0,0,0,0,0,1,6,24,15,0
