dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-02-01,6,2,1,0,1,1,2,0,2,2,12,1,1
2016-03-01,3,2,1,0,1,1,2,0,1,1,37,1,1
2016-04-01,81,4,6,1,5,1,8,0,19,49,66,4,0
2016-05-01,57,4,5,1,4,1,20,0,18,47,50,7,0
2016-06-01,16,2,1,0,0,0,1,0,9,80,51,4,0
2016-07-01,50,3,4,0,5,1,21,0,29,119,63,9,0
2016-08-01,63,6,9,0,7,1,41,0,31,89,92,11,0
2016-09-01,28,4,3,1,3,1,20,1,11,115,90,14,0
2016-10-01,8,5,7,1,4,1,25,0,9,24,80,15,0
2016-11-01,25,4,3,0,2,1,12,0,11,29,104,11,0
2016-12-01,5,2,2,0,1,1,12,0,8,15,68,6,0
2017-01-01,96,3,14,3,13,1,49,0,41,153,86,7,0
2017-02-01,8,2,3,0,3,1,3,0,7,9,90,6,1
2017-03-01,13,3,10,2,5,1,38,1,16,78,94,12,0
2017-04-01,9,2,7,3,3,1,18,0,15,25,87,15,1
2017-05-01,11,7,9,3,1,1,5,0,13,28,111,11,0
2017-06-01,40,6,9,2,6,1,15,0,16,37,111,18,1
2017-07-01,143,8,11,6,7,2,67,0,23,67,102,17,1
2017-08-01,53,4,10,6,7,1,66,0,17,55,111,16,0
2017-09-01,6,2,2,1,0,0,1,0,7,36,96,8,0
2017-10-01,5,4,4,0,1,1,15,0,6,36,99,13,0
2017-11-01,30,11,13,8,14,2,80,0,36,181,132,16,0
2017-12-01,12,3,4,1,3,2,21,0,13,49,102,10,0
2018-01-01,24,5,6,1,4,2,23,0,12,90,113,13,1
2018-02-01,39,4,5,2,6,1,42,0,122,920,86,15,0
2018-03-01,20,4,6,2,5,1,15,0,12,17,102,11,0
2018-04-01,7,4,8,2,0,0,44,0,16,88,119,10,1
2018-05-01,1,1,2,0,0,0,1,0,6,7,101,13,0
2018-06-01,18,8,7,2,6,1,42,0,14,49,89,15,0
2018-07-01,29,9,12,5,11,1,60,0,19,50,100,25,0
2018-08-01,23,4,4,0,3,1,8,0,6,19,94,6,0
2018-09-01,28,3,5,1,6,1,27,0,20,44,92,13,0
2018-10-01,95,7,8,2,8,1,52,0,34,169,85,12,0
2018-11-01,4,2,6,0,1,1,49,0,12,54,119,17,0
2018-12-01,20,7,4,2,6,1,9,1,218,1308,86,15,0
2019-01-01,92,1,3,0,1,1,80,2,32,233,90,8,0
2019-02-01,55,8,9,1,4,1,63,0,22,92,91,16,0
2019-03-01,39,3,2,1,4,1,49,0,20,163,95,8,0
2019-04-01,14,3,2,0,2,1,6,0,9,32,98,16,0
2019-05-01,1,1,0,0,0,0,0,2,1,19,108,3,0
2019-06-01,13,3,3,0,4,1,6,1,10,48,65,9,0
2019-07-01,27,1,3,0,0,0,7,0,15,61,100,8,0
2019-08-01,43,4,2,1,3,1,47,0,11,64,112,12,0
2019-09-01,55,7,4,0,5,1,11,1,105,706,76,15,0
2019-10-01,112,7,5,1,4,1,59,2,45,315,92,21,0
2019-11-01,4,4,3,1,0,0,12,3,11,47,73,16,0
2019-12-01,22,5,3,0,1,1,18,2,12,90,88,7,0
2020-01-01,54,9,5,3,1,1,28,4,32,186,74,10,0
2020-02-01,11,3,0,0,3,1,10,6,69,480,79,14,0
2020-03-01,30,8,1,0,0,0,1,15,34,272,83,12,0
2020-04-01,27,3,0,0,1,1,1,1,23,216,73,13,0
