dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-05-01,73,5,16,0,16,3,0,0,16,0,2,0,0
2016-06-01,82,5,28,0,28,3,0,0,28,0,23,2,2
2016-07-01,0,0,0,0,0,0,0,0,0,0,6,0,0
2016-08-01,0,0,0,0,0,0,0,0,0,0,3,0,0
2016-09-01,0,0,0,0,0,0,0,0,0,0,6,0,0
2016-10-01,70,3,22,0,21,2,0,0,22,0,2,2,0
2016-11-01,166,3,37,3,35,2,2,0,57,1,4,2,0
2016-12-01,153,5,29,1,28,2,6,0,31,13,863,33,1
2017-01-01,34,4,5,0,5,2,8,0,6,5,30,2,0
2017-02-01,5,2,0,0,0,0,0,0,0,0,18,3,0
2017-03-01,122,3,2,0,2,2,0,0,34,0,22,0,0
2017-04-01,250,3,2,2,0,0,0,0,77,0,7,1,0
2017-05-01,149,4,20,1,19,2,0,0,52,23,25,2,0
2017-06-01,7,3,2,0,2,1,0,0,2,0,18,1,0
2017-07-01,0,0,0,0,0,0,0,0,0,0,11,2,0
2017-08-01,0,0,0,0,0,0,0,0,0,0,13,0,1
2017-09-01,18,3,5,0,5,2,0,0,5,0,14,5,3
2017-10-01,4,3,3,0,1,1,0,0,1,0,10,3,0
2017-11-01,4,2,0,0,2,1,0,0,2,0,9,2,0
2017-12-01,0,0,0,0,0,0,0,0,0,0,21,2,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,13,4,0
2018-02-01,0,0,0,0,0,0,0,0,0,0,6,1,0
2018-03-01,207,4,39,1,38,2,2,0,44,6,12,1,0
2018-04-01,63,4,14,1,12,2,0,0,13,0,8,1,0
2018-05-01,66,2,17,0,18,2,0,0,18,0,4,1,0
2018-06-01,43,3,3,0,3,2,0,0,3,0,5,0,0
2018-07-01,1,1,0,0,0,0,0,0,0,0,4,2,1
2018-08-01,85,2,16,1,14,2,0,0,15,0,10,0,1
2018-09-01,85,2,19,1,17,2,0,0,18,0,7,1,0
2018-10-01,73,3,19,0,20,2,0,0,25,11,12,3,0
2018-11-01,25,2,3,0,4,2,0,0,4,0,7,4,1
2018-12-01,40,3,9,0,9,2,0,0,9,0,49,3,0
2019-01-01,23,2,3,0,3,2,0,1,3,5,14,1,0
2019-02-01,62,2,5,2,3,2,0,0,5,0,4,1,0
2019-03-01,69,2,13,1,12,2,0,0,13,0,1,0,0
2019-04-01,18,2,4,0,4,2,0,0,5,0,14,2,0
2019-05-01,10,2,2,0,2,2,0,1,2,5,16,0,0
2019-06-01,55,2,12,0,12,2,0,0,12,0,4,0,0
2019-07-01,9,1,2,0,2,1,0,0,2,0,9,1,0
2019-08-01,27,3,6,0,6,2,2,0,6,1,8,2,0
2019-09-01,34,2,3,0,3,2,0,0,5,1,11,3,0
