dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-01-01,127,1,0,0,0,0,0,0,1,3,6,0,1
2016-02-01,112,2,1,0,1,1,8,0,2,18,29,1,0
2016-03-01,44,3,2,0,2,1,8,0,4,13,12,1,0
2016-04-01,68,1,0,0,0,0,0,0,0,0,8,1,1
2016-05-01,30,1,0,0,0,0,0,1,5,22,10,3,0
2016-06-01,10,2,2,1,1,1,2,0,8,17,168,5,1
2016-07-01,1,1,0,0,0,0,0,0,0,0,5,0,0
2016-08-01,4,2,1,1,0,0,2,0,1,1,17,1,1
2016-09-01,2,1,0,0,0,0,0,0,1,3,6,2,0
2016-10-01,31,2,1,0,1,1,10,0,3,8,31,3,0
2016-11-01,53,2,11,2,7,1,62,0,12,51,83,2,0
2016-12-01,155,3,11,5,8,1,140,4,28,257,26,3,2
2017-01-01,15,3,5,2,2,1,21,0,10,100,15,1,0
2017-02-01,36,3,4,1,4,1,21,0,10,51,15,3,0
2017-03-01,79,3,10,1,7,1,44,2,13,47,15,4,0
2017-04-01,11,2,3,1,3,1,17,1,9,64,12,1,0
2017-05-01,4,2,1,0,1,1,6,0,3,8,15,5,1
2017-06-01,0,0,1,1,0,0,0,0,3,4,13,0,1
2017-07-01,0,0,0,0,0,0,0,0,0,0,8,0,0
2017-08-01,2,2,2,1,1,1,0,1,2,2,9,2,0
2017-09-01,2,1,1,0,0,0,3,0,0,0,11,1,0
2017-10-01,4,2,0,0,1,1,3,0,4,48,19,2,0
2017-11-01,0,0,1,0,0,0,3,1,1,5,13,0,0
2017-12-01,16,1,1,1,0,0,2,0,4,10,112,3,0
2018-01-01,21,1,0,0,0,0,0,0,4,16,22,2,0
2018-02-01,159,3,2,1,2,1,19,1,5,26,48,3,0
2018-03-01,54,2,2,1,1,1,4,0,3,5,23,1,0
2018-04-01,127,1,0,0,0,0,0,0,2,5,24,1,0
2018-05-01,0,0,0,0,0,0,0,0,0,0,13,2,0
2018-06-01,0,0,0,0,0,0,0,0,0,0,19,2,1
2018-07-01,26,2,1,1,0,0,26,1,5,42,14,4,0
2018-08-01,0,0,0,0,0,0,0,0,0,0,10,2,0
2018-09-01,25,3,2,0,2,1,4,0,4,38,17,8,0
2018-10-01,76,3,7,0,7,1,30,2,9,32,31,5,0
2018-11-01,11,2,1,0,1,1,2,2,1,12,22,3,0
2018-12-01,2,1,0,0,0,0,0,2,1,31,12,2,0
2019-01-01,0,0,0,0,0,0,0,2,4,36,15,0,0
2019-02-01,6,2,3,0,1,1,5,2,3,18,34,5,1
2019-03-01,0,0,0,0,0,0,0,0,0,0,61,0,0
2019-04-01,0,0,1,1,0,0,4,2,1,4,14,2,0
2019-05-01,0,0,0,0,0,0,0,1,0,6,93,5,0
2019-06-01,2,2,1,1,1,1,1,0,4,16,51,28,0
