dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-06-01,332,2,31,0,31,1,0,0,38,5,3,2,0
2016-07-01,127,1,6,0,6,1,0,0,12,7,10,0,0
2016-08-01,104,2,23,1,22,1,0,0,32,10,5,3,0
2016-09-01,104,1,24,1,23,1,0,0,42,19,16,2,0
2016-10-01,59,2,13,1,12,1,22,0,31,63,14,10,0
2016-11-01,49,2,13,1,12,1,28,0,33,72,19,3,0
2016-12-01,66,2,15,1,14,1,26,0,35,121,19,2,0
2017-01-01,41,3,8,1,6,1,24,0,23,54,24,6,2
2017-02-01,47,1,7,1,7,1,18,0,28,103,41,9,0
2017-03-01,21,1,6,0,6,1,12,0,26,79,31,5,1
2017-04-01,47,1,11,0,11,1,22,0,30,64,32,10,1
2017-05-01,39,2,9,1,8,1,16,0,31,57,22,10,1
2017-06-01,57,1,21,4,16,1,39,0,42,97,27,6,0
2017-07-01,41,1,7,1,7,1,15,0,32,117,26,7,0
2017-08-01,38,1,9,0,9,1,18,0,32,76,32,7,0
2017-09-01,65,1,21,0,19,1,29,0,35,80,30,8,1
2017-10-01,53,2,12,3,11,1,25,1,36,103,28,14,0
2017-11-01,68,2,25,0,25,1,22,2,59,143,49,8,1
2017-12-01,64,1,15,1,14,1,26,0,32,66,35,4,0
2018-01-01,24,4,5,0,5,1,10,0,28,65,36,15,1
2018-02-01,14,1,9,1,7,1,15,0,23,40,36,8,0
2018-03-01,60,4,6,3,4,1,19,1,20,40,27,9,0
2018-04-01,29,1,3,0,3,1,6,1,20,69,33,12,0
2018-05-01,16,2,7,1,6,1,14,5,29,65,43,12,0
2018-06-01,10,2,3,0,2,1,6,5,13,29,21,6,0
2018-07-01,15,3,3,2,2,1,10,2,16,29,23,6,0
2018-08-01,15,3,3,0,3,1,6,1,13,33,20,6,1
2018-09-01,25,1,9,1,7,1,18,1,23,60,22,8,0
2018-10-01,23,3,4,0,4,1,6,2,11,20,26,9,0
2018-11-01,17,2,3,0,3,1,6,3,12,24,11,6,0
2018-12-01,14,4,4,0,3,1,10,3,18,58,23,8,1
2019-01-01,17,5,1,0,0,0,2,3,3,25,20,13,0
2019-02-01,9,4,2,1,1,1,6,5,12,67,18,5,0
2019-03-01,4,1,2,0,2,1,4,6,8,27,34,10,0
2019-04-01,40,3,7,1,8,2,12,2,37,128,14,3,0
2019-05-01,15,1,4,0,4,1,4,2,5,4,25,7,0
2019-06-01,5,1,1,1,0,0,4,2,2,14,21,7,0
2019-07-01,22,2,2,1,2,1,2,4,15,43,23,8,0
2019-08-01,24,2,5,0,5,1,4,7,15,34,22,9,0
2019-09-01,18,2,0,0,0,0,0,5,2,5,10,3,0
2019-10-01,0,0,0,0,0,0,0,2,5,12,20,3,1
2019-11-01,42,3,8,1,7,1,10,3,18,48,16,8,0
2019-12-01,0,0,1,0,0,0,1,8,0,6,11,4,0
2020-01-01,0,0,1,0,0,0,1,2,0,1,14,3,0
2020-02-01,2,1,0,0,0,0,0,3,0,3,9,6,0
2020-03-01,0,0,3,0,0,0,1,5,2,4,6,5,0
2020-04-01,157,0,2,0,1,1,2,5,1,10,15,2,0
