dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-04-01,790,9,2,1,1,1,8,0,26,89,39,2,0
2016-05-01,37,1,2,2,0,0,0,0,12,43,7,3,3
2016-06-01,26,1,0,0,0,0,0,0,15,82,8,0,1
2016-07-01,71,1,0,0,0,0,0,0,14,69,4,0,1
2016-08-01,133,3,3,1,2,1,10,0,38,389,6,2,3
2016-09-01,92,1,0,0,0,0,0,0,26,95,6,2,1
2016-10-01,75,1,0,0,0,0,0,0,20,127,9,2,1
2016-11-01,67,1,0,0,0,0,0,0,29,169,10,1,2
2016-12-01,60,1,2,1,0,0,8,0,32,184,17,1,0
2017-01-01,77,2,1,0,1,1,2,0,26,300,4,2,3
2017-02-01,48,2,1,1,0,0,2,0,14,90,5,1,0
2017-03-01,64,3,2,1,1,1,30,0,36,180,5,2,2
2017-04-01,86,3,9,4,4,1,17,0,39,128,7,2,1
2017-05-01,125,3,2,2,1,1,11,0,44,184,8,2,0
2017-06-01,115,2,0,1,0,0,2,0,53,343,3,0,0
2017-07-01,186,3,1,0,1,1,2,0,110,568,14,1,1
2017-08-01,127,3,6,2,3,1,12,0,58,252,14,2,1
2017-09-01,140,5,10,1,9,2,44,0,68,438,10,2,0
2017-10-01,135,4,6,2,5,2,28,0,63,272,21,3,0
2017-11-01,147,5,4,1,2,1,24,0,74,337,19,2,1
2017-12-01,427,5,16,5,11,2,70,0,281,888,30,6,1
2018-01-01,473,4,9,4,4,2,39,0,279,825,26,4,0
2018-02-01,410,11,35,5,29,4,157,1,212,519,20,8,4
2018-03-01,453,9,28,13,16,3,91,0,215,664,28,9,3
2018-04-01,489,11,38,5,32,3,147,2,283,792,19,12,2
2018-05-01,504,5,29,12,15,3,76,1,291,734,48,6,0
2018-06-01,529,9,7,1,6,3,19,1,286,436,21,4,0
2018-07-01,526,7,25,6,18,3,82,1,355,669,151,9,4
2018-08-01,511,7,20,5,13,3,63,3,294,1094,225,12,4
2018-09-01,620,7,18,4,10,3,59,4,248,524,40,7,2
2018-10-01,736,10,19,3,16,3,62,1,360,669,35,6,2
2018-11-01,606,7,22,5,11,3,63,6,223,669,24,5,0
2018-12-01,674,7,26,6,12,3,36,6,251,734,38,6,0
2019-01-01,722,7,16,3,12,2,51,1,277,601,10,4,2
2019-02-01,644,5,7,2,2,2,24,2,261,650,27,6,1
2019-03-01,774,8,14,4,11,2,45,1,245,1003,38,3,1
2019-04-01,789,9,6,0,6,2,4,0,214,653,29,3,0
2019-05-01,670,9,8,1,7,3,76,0,227,460,39,5,0
2019-06-01,621,11,14,3,11,3,50,1,185,621,27,3,0
2019-07-01,492,9,8,2,5,2,42,0,130,398,11,8,0
2019-08-01,687,7,8,1,3,1,13,3,198,445,27,13,0
2019-09-01,694,6,8,1,6,2,16,1,141,438,15,7,0
2019-10-01,700,8,4,2,4,3,10,0,137,365,30,5,0
2019-11-01,599,9,6,1,4,2,16,1,127,460,31,4,0
2019-12-01,489,11,23,3,19,2,71,0,124,317,11,6,1
2020-01-01,769,12,18,6,13,3,59,0,147,429,17,7,1
2020-02-01,798,10,16,3,12,2,69,1,126,304,19,7,0
2020-03-01,981,12,19,8,12,2,64,0,142,461,13,9,0
2020-04-01,129,12,6,1,8,3,75,0,122,298,18,7,0
