dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-07-01,7,4,4,1,1,1,2,0,5,12,833,100,4
2016-08-01,140,8,42,5,38,4,119,0,87,115,72,11,1
2016-09-01,154,8,26,2,24,3,18,0,73,52,154,14,1
2016-10-01,149,6,42,5,35,3,62,1,65,185,64,10,0
2016-11-01,162,8,39,2,39,4,107,0,69,102,47,12,0
2016-12-01,130,6,30,2,27,3,65,0,63,59,197,42,1
2017-01-01,366,8,64,8,53,3,106,14,85,153,57,5,0
2017-02-01,147,9,48,3,42,4,89,27,79,187,56,16,0
2017-03-01,189,10,56,5,54,5,155,11,81,251,48,14,2
2017-04-01,95,8,26,2,27,3,56,28,37,144,83,19,0
2017-05-01,154,6,31,3,28,5,45,10,53,206,37,5,2
2017-06-01,135,5,45,4,41,3,84,9,58,72,28,5,0
2017-07-01,204,6,52,2,50,5,71,7,63,63,38,7,1
2017-08-01,96,5,25,4,19,3,104,5,33,152,36,5,0
2017-09-01,148,5,37,3,32,3,134,10,51,119,47,13,0
2017-10-01,130,7,38,1,32,5,101,12,52,137,36,20,1
2017-11-01,139,5,34,2,36,4,133,20,53,168,43,12,1
2017-12-01,102,5,16,2,15,2,73,9,42,104,27,7,2
2018-01-01,128,5,16,0,13,2,94,8,25,65,22,6,0
2018-02-01,162,5,16,2,15,4,120,3,33,139,14,4,0
2018-03-01,306,7,49,6,47,4,159,11,70,148,21,11,0
2018-04-01,172,7,20,4,16,3,21,9,30,29,11,8,0
2018-05-01,173,7,20,3,10,3,131,2,20,87,26,6,1
2018-06-01,232,10,35,3,41,2,89,7,53,93,22,5,1
2018-07-01,92,8,37,7,24,5,81,5,51,111,18,6,1
2018-08-01,202,8,52,10,41,6,154,9,63,141,17,5,1
2018-09-01,162,8,29,7,25,5,176,5,40,100,14,5,0
2018-10-01,35,6,26,8,19,2,113,5,36,70,13,3,0
2018-11-01,89,5,28,3,21,3,99,5,34,96,17,3,0
2018-12-01,43,4,11,4,12,4,52,10,19,60,16,5,0
2019-01-01,28,3,20,1,13,4,64,10,23,56,17,4,2
2019-02-01,58,5,26,3,30,4,60,5,62,101,16,3,0
2019-03-01,46,8,13,2,13,4,30,7,68,198,20,6,0
2019-04-01,32,4,0,0,0,0,0,4,37,121,16,1,0
2019-05-01,27,5,0,0,0,0,0,4,36,33,17,5,0
2019-06-01,38,7,0,1,0,0,1,3,47,68,15,5,0
2019-07-01,33,4,0,0,0,0,0,5,22,18,10,5,0
2019-08-01,40,6,1,1,0,0,6,3,32,38,36,3,0
2019-09-01,47,8,0,0,0,0,0,3,52,207,12,3,0
2019-10-01,65,5,0,0,0,0,0,0,69,67,11,3,0
2019-11-01,47,8,0,0,0,0,0,4,60,165,27,7,0
2019-12-01,41,8,0,0,0,0,0,2,58,80,10,5,0
2020-01-01,52,6,0,0,0,0,0,3,118,344,9,6,0
2020-02-01,52,4,0,0,0,0,0,1,111,267,10,3,0
2020-03-01,64,4,0,0,0,0,0,12,100,179,9,0,0
2020-04-01,35,6,7,0,1,1,2,2,32,82,17,7,1
