dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-05-01,73,4,5,6,10,1,15,0,22,19,412,16,0
2015-06-01,10,1,0,0,0,0,0,0,0,0,41,2,0
2015-07-01,15,1,0,0,0,0,0,0,0,0,47,5,0
2015-08-01,23,2,1,0,0,0,0,0,0,0,21,1,0
2015-09-01,12,1,0,0,1,1,0,0,1,0,31,3,2
2015-10-01,11,4,5,0,3,1,4,0,3,1,28,5,1
2015-11-01,5,1,0,0,2,1,2,0,2,2,21,2,0
2015-12-01,3,3,2,0,1,1,2,0,1,1,32,3,1
2016-01-01,1,1,0,0,1,1,0,0,1,0,34,2,0
2016-02-01,21,1,0,0,0,0,0,0,0,0,20,1,0
2016-03-01,23,1,3,3,0,0,2,0,3,1,40,0,1
2016-04-01,1,1,0,0,0,0,0,0,0,0,7,1,0
2016-05-01,0,0,1,0,0,0,1,1,0,1,11,2,1
2016-06-01,0,0,0,0,0,0,0,0,0,0,11,1,0
2016-07-01,0,0,0,0,0,0,0,0,0,0,5,1,0
2016-08-01,0,0,0,0,0,0,0,0,0,0,12,2,1
2016-09-01,0,0,0,0,0,0,0,0,0,0,11,1,0
2016-10-01,3,2,1,0,0,0,1,0,0,0,6,2,1
2016-11-01,4,1,0,0,1,1,1,0,1,1,27,0,0
2016-12-01,0,0,0,0,0,0,0,0,0,0,31,4,2
2017-01-01,0,0,0,0,0,0,0,0,0,0,42,4,0
2017-02-01,6,1,0,0,0,0,0,0,0,0,29,1,1
2017-03-01,46,1,0,0,0,0,0,0,0,0,13,2,0
2017-04-01,10,1,0,0,0,0,0,0,0,0,5,2,0
2017-05-01,41,1,0,0,0,0,0,0,0,0,8,0,0
2017-06-01,38,1,0,0,0,0,0,0,0,0,3,2,0
2017-07-01,15,1,0,0,0,0,0,0,0,0,12,0,0
2017-08-01,15,1,0,0,0,0,0,0,0,0,11,0,0
2017-09-01,18,1,0,0,0,0,0,0,0,0,15,0,0
2017-10-01,1,1,0,0,0,0,0,0,0,0,11,1,0
2017-11-01,10,1,0,0,0,0,0,0,0,0,7,1,0
2017-12-01,0,0,0,0,0,0,0,0,0,0,11,2,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,8,1,0
2018-02-01,0,0,0,0,0,0,0,0,0,0,8,0,0
2018-03-01,0,0,0,0,0,0,0,0,0,0,9,1,0
2018-04-01,15,1,0,0,0,0,0,0,0,0,5,1,1
2018-05-01,13,1,0,0,0,0,0,0,0,0,13,4,0
2018-06-01,17,2,1,2,0,0,0,0,0,2,84,49,2
