dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-04-01,117,3,9,2,6,1,31,0,8,11,2,1,2
2015-05-01,6,1,0,0,1,1,2,0,1,2,4,2,3
2015-06-01,21,3,3,0,2,1,4,0,2,0,14,4,1
2015-07-01,107,5,14,2,13,2,18,0,20,28,31,10,0
2015-08-01,51,4,11,0,9,1,27,0,11,14,31,8,0
2015-09-01,73,3,11,1,9,1,18,0,18,32,22,11,0
2015-10-01,22,4,7,1,5,2,16,0,13,28,29,11,0
2015-11-01,35,4,11,0,7,1,36,0,13,19,37,7,2
2015-12-01,36,5,18,7,9,3,44,0,23,47,29,14,0
2016-01-01,41,4,11,8,4,1,21,0,35,60,58,14,2
2016-02-01,52,4,17,5,12,1,20,0,29,58,46,15,0
2016-03-01,18,4,6,0,3,1,10,0,11,43,39,22,0
2016-04-01,68,12,19,4,14,2,87,0,35,103,63,21,2
2016-05-01,85,10,19,3,13,3,130,0,20,70,56,23,3
2016-06-01,70,9,18,9,13,3,75,0,24,46,60,25,1
2016-07-01,47,5,21,0,15,2,90,0,35,116,88,22,2
2016-08-01,55,16,25,9,23,2,130,0,63,198,83,35,0
2016-09-01,24,10,21,10,12,2,111,0,34,90,76,33,0
2016-10-01,22,7,9,2,9,2,36,0,19,29,85,28,0
2016-11-01,28,6,18,2,15,2,94,0,24,80,82,22,0
2016-12-01,20,8,16,1,10,2,50,0,23,52,78,25,1
2017-01-01,42,10,32,9,26,2,163,0,85,330,81,23,1
2017-02-01,29,8,22,3,15,2,122,0,27,67,90,31,1
2017-03-01,17,9,16,1,10,2,100,0,17,48,93,38,0
2017-04-01,20,7,15,1,10,1,54,0,19,44,93,55,1
2017-05-01,33,8,20,3,20,1,76,0,30,79,116,47,2
2017-06-01,12,6,12,2,7,3,86,0,10,35,94,70,1
2017-07-01,7,3,9,4,4,1,32,0,12,27,101,61,0
2017-08-01,9,5,4,2,5,2,17,0,20,60,95,67,0
2017-09-01,7,5,11,7,4,1,88,0,21,68,92,52,0
2017-10-01,21,9,17,2,11,2,80,0,28,113,97,62,0
2017-11-01,17,8,16,3,9,2,76,0,26,70,96,65,1
2017-12-01,9,6,5,1,6,1,25,0,110,211,103,50,0
2018-01-01,33,7,23,6,15,2,64,0,53,262,82,51,0
2018-02-01,52,5,9,7,5,2,29,0,28,73,77,42,0
2018-03-01,3,3,11,2,3,2,40,0,23,100,73,57,0
2018-04-01,18,3,4,2,2,1,12,1,9,41,80,47,0
2018-05-01,7,4,12,4,1,1,31,0,23,57,60,51,0
2018-06-01,2,2,4,2,1,1,6,0,10,21,67,49,0
2018-07-01,6,6,5,38,3,1,110,0,198,773,61,44,1
2018-08-01,3,2,3,4,1,1,13,0,26,118,56,59,0
2018-09-01,19,4,3,4,1,1,13,0,28,84,72,39,0
2018-10-01,23,5,14,1,7,2,17,0,39,78,52,42,0
2018-11-01,35,7,28,4,28,2,29,2,51,99,41,19,0
2018-12-01,1,1,4,4,1,1,11,3,31,99,54,13,0
2019-01-01,0,0,2,1,0,0,15,1,22,52,47,17,0
2019-02-01,2,2,4,1,2,1,24,1,11,52,57,8,1
2019-03-01,36,2,11,1,5,1,23,7,51,76,71,13,1
2019-04-01,53,3,5,5,1,1,21,24,76,119,59,19,0
2019-05-01,45,2,1,2,0,0,9,16,41,68,64,13,1
2019-06-01,1,1,5,0,0,0,4,22,3,20,40,12,0
2019-07-01,1,1,1,0,0,0,1,16,8,49,64,15,0
2019-08-01,10,3,1,0,0,0,3,8,5,12,50,12,0
2019-09-01,0,0,0,1,0,0,3,7,4,35,59,12,0
2019-10-01,52,4,0,0,0,0,0,8,52,34,56,18,1
2019-11-01,9,2,1,1,0,0,0,8,7,26,42,7,0
2019-12-01,20,6,0,0,0,0,0,4,20,40,54,18,0
2020-01-01,79,4,0,1,0,0,1,10,86,63,56,10,0
2020-02-01,37,4,2,0,1,1,0,10,24,28,109,14,0
2020-03-01,6,2,1,0,0,0,0,10,12,20,71,13,0
2020-04-01,20,3,1,0,0,0,0,10,6,32,33,8,0
