dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-09-01,158,6,51,0,50,3,54,0,51,23,61,7,1
2015-10-01,63,3,13,0,14,1,90,0,17,59,20,4,2
2015-11-01,0,0,1,0,0,0,10,0,0,0,5,0,2
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,1,2
2016-01-01,0,0,0,0,0,0,0,0,0,0,2,1,1
2016-02-01,0,0,0,0,0,0,0,0,0,0,2,0,0
2016-03-01,0,0,0,0,0,0,0,0,0,0,5,0,0
2016-04-01,0,0,0,0,0,0,0,0,0,0,7,0,0
2016-05-01,137,2,13,3,8,2,135,0,37,151,7,0,1
2016-06-01,106,2,12,0,13,2,67,0,24,103,16,0,1
2016-07-01,83,9,18,4,13,2,100,0,32,102,434,22,0
2016-08-01,11,4,3,0,4,2,25,0,10,53,123,5,0
2016-09-01,119,2,17,1,13,1,84,2,18,54,98,5,1
2016-10-01,64,6,14,3,13,2,91,1,23,83,125,7,1
2016-11-01,23,2,6,3,4,1,23,2,31,143,60,9,1
2016-12-01,0,0,0,0,0,0,0,2,5,57,49,3,0
2017-01-01,0,0,0,0,0,0,0,1,0,7,55,6,1
2017-02-01,5,1,2,0,2,1,2,1,11,52,40,3,0
2017-03-01,4,2,2,0,1,1,10,0,4,14,50,5,0
2017-04-01,10,2,4,0,3,1,4,0,19,98,73,4,1
2017-05-01,2,1,2,0,1,1,3,2,5,16,65,7,2
2017-06-01,8,3,4,0,3,2,20,0,6,12,52,8,0
2017-07-01,37,3,2,1,4,2,42,0,16,100,73,6,0
2017-08-01,39,1,5,0,3,1,24,0,9,23,51,2,1
2017-09-01,1,1,2,0,0,0,3,0,11,54,46,2,0
2017-10-01,73,5,20,2,21,2,136,1,36,77,52,7,1
2017-11-01,1,1,0,0,1,1,7,1,3,19,24,2,1
2017-12-01,0,0,0,0,0,0,0,0,0,0,37,2,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,38,4,1
2018-02-01,246,7,78,6,68,2,433,3,83,276,66,10,2
2018-03-01,342,13,87,6,81,1,308,7,166,722,122,11,1
2018-04-01,202,8,63,10,56,1,260,2,106,376,125,15,0
2018-05-01,122,11,41,2,38,2,225,11,102,552,345,21,1
2018-06-01,46,6,16,2,15,1,64,11,56,255,114,15,2
2018-07-01,56,5,20,1,16,1,134,4,55,262,95,10,0
2018-08-01,99,9,28,2,26,1,122,4,50,204,133,16,1
2018-09-01,13,5,6,0,4,1,22,5,16,83,51,5,0
2018-10-01,49,7,17,3,13,2,76,3,25,74,77,10,1
2018-11-01,98,8,37,2,36,1,118,1,55,150,98,16,1
2018-12-01,47,5,19,1,18,2,50,0,34,98,75,8,1
2019-01-01,30,5,13,1,10,1,48,5,32,132,204,15,0
2019-02-01,33,5,10,0,11,1,37,3,23,78,121,7,0
2019-03-01,81,11,29,1,28,1,68,6,49,147,149,22,0
2019-04-01,72,3,28,1,25,1,31,3,41,88,163,18,1
2019-05-01,73,7,29,1,27,1,54,10,142,596,189,16,0
2019-06-01,47,5,12,0,13,1,41,6,32,118,76,5,1
2019-07-01,42,2,16,1,13,1,46,3,37,134,79,1,0
2019-08-01,33,5,10,3,8,1,67,6,28,135,97,13,1
2019-09-01,24,6,10,1,9,1,45,5,25,101,81,8,0
2019-10-01,23,6,12,2,10,1,44,6,31,86,84,13,0
2019-11-01,54,4,16,3,15,1,26,5,101,418,116,15,2
2019-12-01,95,6,38,1,39,1,91,3,80,234,214,14,0
2020-01-01,25,6,11,1,10,1,22,4,48,167,214,28,0
2020-02-01,46,2,21,1,18,1,45,8,65,212,126,13,0
2020-03-01,35,2,14,3,15,1,30,14,48,168,121,11,0
2020-04-01,31,3,17,1,14,1,30,1,33,168,122,7,0
