dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-05-01,51,4,7,0,7,2,2,2,14,13,4,0,5
2016-06-01,294,5,27,0,26,2,30,4,79,113,2,0,4
2016-07-01,246,8,31,2,29,2,20,8,105,264,1645,193,9
2016-08-01,127,7,24,1,23,2,12,3,62,96,100,20,1
2016-09-01,80,3,18,1,15,1,33,7,53,142,52,9,5
2016-10-01,32,2,5,1,4,1,18,0,16,38,55,13,2
2016-11-01,24,1,3,1,3,1,6,2,17,26,78,8,0
2016-12-01,69,1,6,1,5,1,6,1,34,78,116,25,0
2017-01-01,32,2,3,0,2,1,5,3,15,36,72,16,1
2017-02-01,45,4,5,0,5,2,4,1,15,17,48,5,0
2017-03-01,14,2,3,0,2,1,3,6,10,20,47,8,1
2017-04-01,15,2,1,0,1,1,2,4,25,62,42,10,0
2017-05-01,48,2,3,0,2,1,14,1,18,41,38,13,1
2017-06-01,38,2,2,1,2,1,4,7,15,45,61,7,0
2017-07-01,34,1,1,0,1,1,0,4,25,81,36,10,1
2017-08-01,3,1,1,0,1,1,0,3,9,28,31,4,1
2017-09-01,39,3,3,1,3,1,6,2,7,12,40,12,1
2017-10-01,39,2,2,1,1,1,3,4,15,48,33,6,0
2017-11-01,3,3,2,0,1,1,3,5,8,28,43,7,1
2017-12-01,2,2,1,1,0,0,7,3,3,23,40,7,2
2018-01-01,15,1,0,0,0,0,0,0,2,1,34,11,1
2018-02-01,43,2,3,0,6,1,5,1,21,29,33,4,0
2018-03-01,98,4,4,1,1,1,5,3,4,10,48,11,1
2018-04-01,53,4,6,3,4,1,13,2,11,17,36,9,1
2018-05-01,52,1,4,0,0,0,1,3,2,6,45,3,0
2018-06-01,30,1,2,2,5,1,4,3,16,26,44,5,0
2018-07-01,32,2,4,1,2,1,8,3,15,51,29,7,0
2018-08-01,32,2,5,1,4,1,11,1,33,124,33,3,0
2018-09-01,45,1,4,2,2,1,5,0,9,21,41,7,0
2018-10-01,41,1,7,6,0,0,20,0,7,11,32,8,0
2018-11-01,19,1,4,2,5,1,8,3,19,43,36,5,1
2018-12-01,7,1,0,0,0,0,0,0,0,0,38,6,0
2019-01-01,19,2,4,0,4,1,6,1,13,32,31,6,0
2019-02-01,0,0,2,2,0,0,4,0,4,18,23,6,0
2019-03-01,7,1,4,1,0,0,5,2,5,9,32,4,0
2019-04-01,4,2,2,1,1,1,2,0,7,12,34,4,0
2019-05-01,5,3,1,1,1,1,3,1,4,9,49,14,1
2019-06-01,0,0,1,1,0,0,2,1,2,5,32,9,0
2019-07-01,21,2,4,0,4,1,6,0,10,21,40,10,0
2019-08-01,3,2,1,0,1,1,0,0,3,4,25,9,0
2019-09-01,10,2,2,1,4,1,10,3,20,65,282,44,0
