dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-12-01,21,1,0,0,0,0,0,2,2,0,2,0,1
2016-01-01,47,1,0,0,0,0,0,30,32,3,0,0,2
2016-02-01,59,1,0,0,0,0,0,3,20,1,2,0,0
2016-03-01,43,1,0,0,0,0,0,3,11,0,1,0,0
2016-04-01,12,1,0,0,0,0,0,0,1,0,0,0,0
2016-05-01,42,1,0,0,0,0,0,4,1,0,0,0,0
2016-06-01,50,1,1,0,1,1,0,26,13,0,371,12,0
2016-07-01,54,2,2,0,2,1,2,1,3,1,28,5,0
2016-08-01,50,1,0,0,0,0,0,23,16,2,11,3,0
2016-09-01,54,1,2,0,2,1,0,14,18,3,10,2,0
2016-10-01,20,1,1,0,1,1,0,8,3,7,19,2,1
2016-11-01,7,1,1,0,1,1,0,0,6,11,21,2,0
2016-12-01,2,1,0,0,0,0,0,0,3,16,7,2,3
2017-01-01,0,0,0,0,0,0,0,0,0,0,80,1,1
2017-02-01,14,1,0,0,0,0,0,0,3,6,4,0,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,15,1,0
2017-04-01,0,0,0,0,0,0,0,0,0,0,22,1,1
2017-05-01,0,0,0,0,0,0,0,0,1,7,16,0,1
2017-06-01,0,0,0,0,0,0,0,0,0,0,17,0,2
2017-07-01,0,0,0,0,0,0,0,0,0,0,7,2,0
2017-08-01,0,0,0,0,0,0,0,0,0,0,9,2,0
2017-09-01,0,0,0,0,0,0,0,0,0,0,1,1,0
2017-10-01,0,0,0,0,0,0,0,0,0,0,19,0,0
2017-11-01,0,0,0,0,0,0,0,0,0,0,11,0,0
2017-12-01,0,0,0,0,0,0,0,0,0,0,11,1,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,6,1,0
2018-02-01,0,0,0,0,0,0,0,0,0,0,4,1,1
2018-03-01,0,0,0,0,0,0,0,0,0,0,8,3,2
2018-04-01,0,0,0,0,0,0,0,0,0,0,3,0,1
2018-05-01,0,0,0,0,0,0,0,0,1,11,5,1,0
2018-06-01,0,0,0,0,0,0,0,0,0,0,4,0,1
2018-07-01,0,0,0,0,0,0,0,0,0,0,5,0,0
2018-08-01,0,0,0,0,0,0,0,0,0,0,3,1,0
2018-09-01,0,0,0,0,0,0,0,0,0,0,4,0,1
2018-10-01,0,0,0,0,0,0,0,0,0,0,4,1,1
2018-11-01,0,0,0,0,0,0,0,0,0,0,2,3,0
2018-12-01,5,1,0,0,0,0,0,0,0,0,1,1,0
2019-01-01,1,1,0,0,0,0,0,0,0,0,2,2,0
2019-02-01,11,1,0,0,0,0,0,0,0,0,15,1,3
2019-03-01,6,1,0,0,0,0,0,0,0,0,3,1,2
2019-04-01,4,1,0,0,0,0,0,0,0,0,6,1,2
2019-05-01,3,1,0,0,0,0,0,0,0,0,1,0,0
2019-06-01,6,1,0,0,0,0,0,0,0,0,8,0,0
2019-07-01,59,2,0,0,0,0,0,24,9,22,177,47,2
2019-08-01,173,8,2,0,2,1,0,1,39,26,20,11,0
2019-09-01,163,9,1,0,1,1,0,0,8,0,38,8,1
2019-10-01,42,6,0,0,0,0,0,0,8,0,55,7,2
2019-11-01,18,3,0,0,0,0,0,2,4,5,36,1,0
2019-12-01,72,1,1,0,1,1,0,5,7,1,40,6,0
2020-01-01,57,1,1,0,1,1,0,3,7,6,32,3,0
2020-02-01,12,2,0,0,0,0,0,0,6,16,17,3,0
2020-03-01,4,4,0,0,0,0,0,0,0,24,99,7,0
