dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2017-04-01,137,5,0,0,0,0,0,0,1,2,6,1,0
2017-05-01,87,9,10,2,8,2,12,0,33,52,1502,169,5
2017-06-01,93,3,6,0,6,2,0,0,19,80,181,39,1
2017-07-01,17,3,4,0,4,1,0,0,13,46,337,46,1
2017-08-01,63,4,7,0,7,2,0,1,28,152,102,17,2
2017-09-01,66,3,4,0,4,1,0,0,16,24,111,20,2
2017-10-01,36,3,5,0,5,2,0,0,8,30,68,9,3
2017-11-01,81,4,15,1,14,2,0,0,38,72,106,21,0
2017-12-01,76,4,14,2,12,2,0,3,35,61,198,37,0
2018-01-01,44,4,9,0,9,2,0,0,45,103,191,22,1
2018-02-01,22,2,2,0,2,1,0,1,11,27,81,15,0
2018-03-01,173,4,17,0,17,2,0,3,53,95,176,33,0
2018-04-01,40,4,6,0,6,2,0,2,20,35,115,24,0
2018-05-01,7,1,3,0,3,1,0,2,19,59,123,29,0
2018-06-01,10,1,1,0,1,1,0,1,8,29,93,23,0
2018-07-01,8,2,2,0,1,1,0,2,33,137,91,17,0
2018-08-01,35,2,1,0,1,1,0,0,35,106,87,28,0
2018-09-01,39,2,5,0,4,2,0,1,41,113,93,26,0
2018-10-01,7,2,1,0,1,1,0,5,14,56,81,12,0
2018-11-01,5,2,2,0,2,1,0,5,17,53,114,20,0
2018-12-01,23,1,3,0,3,1,0,3,20,38,83,24,0
2019-01-01,19,1,1,0,1,1,0,4,16,49,87,13,0
2019-02-01,4,1,1,0,1,1,0,5,6,34,63,15,0
2019-03-01,6,2,1,0,1,1,0,2,11,33,94,18,0
2019-04-01,0,0,1,0,0,0,4,16,4,15,116,34,0
2019-05-01,0,0,0,0,0,0,0,10,3,9,108,21,0
2019-06-01,2,2,1,0,1,1,0,5,2,3,80,17,0
2019-07-01,3,2,1,0,1,1,0,2,19,63,354,151,1
