dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-06-01,149,2,1,1,0,0,2,0,14,53,45,1,0
2015-07-01,98,2,3,3,0,0,4,0,7,10,4,1,1
2015-08-01,84,2,0,0,0,0,0,0,1,4,7,2,2
2015-09-01,83,4,2,1,1,1,4,0,19,58,8,2,4
2015-10-01,70,2,1,0,0,0,0,0,7,24,17,4,1
2015-11-01,69,3,1,2,0,0,2,0,8,25,32,12,1
2015-12-01,76,2,2,2,0,0,8,0,15,76,33,3,1
2016-01-01,94,3,6,3,1,1,7,0,19,56,33,9,1
2016-02-01,101,4,3,3,0,0,17,0,36,121,33,10,0
2016-03-01,94,2,0,1,0,0,0,0,9,21,28,5,2
2016-04-01,100,4,1,2,0,0,36,0,17,65,35,6,1
2016-05-01,127,4,2,2,0,0,6,0,19,70,80,15,2
2016-06-01,101,2,0,0,0,0,0,0,36,131,26,8,2
2016-07-01,91,4,2,2,0,0,6,0,16,57,31,10,1
2016-08-01,62,3,1,0,1,1,4,2,6,26,22,8,1
2016-09-01,60,2,1,1,0,0,0,0,13,53,29,4,1
2016-10-01,52,2,0,0,0,0,0,0,15,45,43,8,4
2016-11-01,68,2,1,0,0,0,1,0,2,19,33,10,0
2016-12-01,110,3,1,2,0,0,3,0,26,62,31,6,0
2017-01-01,110,3,2,2,0,0,4,0,26,77,52,13,4
2017-02-01,115,3,3,2,1,1,6,0,13,33,32,6,0
2017-03-01,70,2,0,0,0,0,0,1,28,96,54,10,2
2017-04-01,98,2,0,0,0,0,0,5,10,66,42,10,0
2017-05-01,90,5,2,0,2,1,2,0,53,156,41,3,1
2017-06-01,70,4,2,1,1,1,6,0,18,75,41,11,1
2017-07-01,248,3,4,4,0,0,16,1,102,331,48,13,2
2017-08-01,175,4,3,2,1,1,8,2,68,250,58,13,1
2017-09-01,238,6,14,5,7,1,83,0,116,439,65,15,0
2017-10-01,114,5,4,2,3,2,18,0,72,177,68,9,0
2017-11-01,131,4,2,0,2,2,38,0,32,139,69,17,0
2017-12-01,159,3,2,1,1,1,2,0,45,126,102,14,0
2018-01-01,272,6,10,0,9,2,38,0,37,121,99,16,0
2018-02-01,277,8,10,1,10,2,16,0,36,217,85,12,3
2018-03-01,340,3,6,0,6,1,10,1,48,114,76,12,0
2018-04-01,249,6,12,1,11,1,48,2,40,128,93,12,2
2018-05-01,168,5,5,1,4,1,22,1,25,67,84,16,2
2018-06-01,95,2,1,0,0,0,0,0,20,64,74,11,0
2018-07-01,96,2,1,1,0,0,7,2,112,338,98,11,2
2018-08-01,142,6,10,2,5,2,36,3,28,115,84,9,0
2018-09-01,123,5,21,7,13,2,55,6,47,140,137,16,0
2018-10-01,104,8,7,1,7,2,13,5,27,114,65,11,1
2018-11-01,88,3,2,2,1,1,11,3,57,241,56,12,0
2018-12-01,145,3,1,0,1,1,2,11,31,188,87,22,0
2019-01-01,88,5,5,1,3,2,16,2,25,76,70,6,0
2019-02-01,85,4,3,1,3,2,4,6,23,74,60,6,0
2019-03-01,92,2,1,0,0,0,2,10,20,147,100,16,0
2019-04-01,127,5,4,2,3,1,10,5,27,132,106,16,0
2019-05-01,94,4,3,0,2,2,3,6,16,67,85,11,0
2019-06-01,127,3,1,0,1,1,0,1,37,129,113,14,2
2019-07-01,154,6,2,0,4,1,8,4,32,94,181,20,1
2019-08-01,126,5,3,3,3,2,22,11,24,93,79,17,0
2019-09-01,63,3,5,1,4,1,4,10,21,67,55,11,0
2019-10-01,174,2,1,1,0,0,6,10,52,123,74,12,0
2019-11-01,122,4,3,0,3,2,2,15,9,78,76,11,0
2019-12-01,176,3,3,0,2,2,7,11,17,76,107,11,0
2020-01-01,198,2,3,2,1,1,4,11,9,54,73,9,0
2020-02-01,187,3,2,1,1,1,4,6,8,43,81,12,0
2020-03-01,112,5,5,0,4,2,1,11,11,48,101,15,0
2020-04-01,71,2,0,1,0,0,1,4,11,34,36,10,0
