dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-08-01,41,3,6,1,5,1,6,0,8,9,229,10,1
2015-09-01,3,2,1,0,1,1,6,0,1,3,14,1,0
2015-10-01,5,3,2,0,2,1,2,0,2,1,5,3,0
2015-11-01,0,0,0,0,0,0,0,0,0,0,4,0,0
2015-12-01,2,1,0,0,0,0,0,0,0,0,0,1,1
2016-01-01,0,0,0,0,0,0,0,1,0,5,3,1,0
2016-02-01,0,0,0,0,0,0,0,0,0,0,4,1,1
2016-03-01,16,2,4,0,4,1,4,0,4,2,0,1,4
2016-04-01,103,13,28,5,23,2,56,2,32,221,28,11,0
2016-05-01,33,10,16,4,11,1,74,1,17,68,15,5,0
2016-06-01,178,27,85,17,68,3,126,3,92,90,11,36,0
2016-07-01,123,24,44,3,40,3,60,0,43,28,8,28,1
2016-08-01,41,11,26,2,22,3,98,0,31,65,13,10,0
2016-09-01,130,4,29,1,26,3,100,5,29,71,23,5,2
2016-10-01,142,16,46,7,34,4,144,8,47,107,29,21,2
2016-11-01,196,19,33,3,27,4,107,0,33,62,21,13,1
2016-12-01,77,8,17,4,19,2,93,2,25,68,22,5,0
2017-01-01,30,6,9,3,6,3,42,3,10,46,30,9,1
2017-02-01,143,16,30,2,29,3,102,0,34,56,21,15,1
2017-03-01,72,14,20,2,17,2,30,1,26,39,41,23,0
2017-04-01,90,13,28,4,22,1,11,2,28,20,19,15,0
2017-05-01,98,22,44,4,31,3,76,2,42,54,36,24,0
2017-06-01,56,10,14,1,13,2,13,4,16,18,24,8,1
2017-07-01,68,4,8,2,8,1,23,0,14,22,32,7,3
2017-08-01,158,22,47,2,43,2,46,6,46,45,32,27,2
2017-09-01,29,7,16,5,11,2,14,0,16,10,25,18,2
2017-10-01,21,7,11,6,8,3,34,1,20,32,79,19,1
2017-11-01,7,5,6,1,4,3,16,4,8,30,86,11,2
2017-12-01,8,3,8,4,3,2,23,2,11,29,22,11,0
2018-01-01,28,5,12,3,5,2,6,1,8,3,20,2,1
2018-02-01,5,5,2,0,2,2,2,0,2,1,19,11,0
2018-03-01,15,6,11,1,3,1,12,2,4,4,19,10,1
2018-04-01,14,5,3,0,1,1,5,0,3,26,11,6,0
2018-05-01,44,8,14,8,16,3,28,1,25,19,18,12,0
2018-06-01,14,3,2,0,1,1,2,1,1,0,17,5,1
2018-07-01,0,0,0,0,0,0,0,0,0,0,13,7,0
2018-08-01,0,0,0,0,0,0,0,0,0,0,15,3,1
2018-09-01,4,2,1,0,1,1,0,0,1,0,10,3,1
2018-10-01,1,1,1,0,0,0,0,1,0,1,10,6,0
2018-11-01,2,2,1,0,1,1,0,0,1,0,16,2,1
2018-12-01,8,2,3,1,0,0,2,0,1,1,15,3,0
2019-01-01,9,1,5,2,2,1,5,0,5,3,10,5,1
2019-02-01,0,0,0,0,0,0,0,1,0,1,17,4,0
2019-03-01,0,0,0,0,0,0,0,0,0,0,9,1,0
2019-04-01,7,2,2,0,2,1,0,0,2,0,14,1,2
2019-05-01,89,9,22,9,24,4,82,2,46,92,19,5,0
2019-06-01,100,5,16,5,11,3,55,6,26,83,20,5,1
2019-07-01,0,0,0,0,0,0,0,0,0,0,15,2,0
2019-08-01,7,2,3,0,2,1,1,2,2,3,14,6,3
2019-09-01,0,0,0,0,0,0,0,0,0,0,21,4,0
2019-10-01,2,2,3,0,1,1,4,3,1,6,26,5,0
2019-11-01,6,2,3,1,3,1,4,0,4,4,28,0,0
2019-12-01,0,0,0,0,0,0,0,0,0,0,21,1,0
2020-01-01,7,4,3,0,3,1,0,0,3,0,12,10,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,27,1,0
2020-03-01,2,4,1,0,1,1,0,0,1,0,7,7,0
