dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-08-01,166,9,2,0,1,1,5,4,8,89,199,22,1
2015-09-01,253,11,3,2,1,1,19,4,13,93,49,6,2
2015-10-01,141,10,1,0,1,1,6,1,2,10,27,3,3
2015-11-01,240,9,0,0,0,0,0,3,4,34,29,4,1
2015-12-01,50,6,0,0,0,0,0,2,1,28,47,3,1
2016-01-01,104,12,1,1,0,0,6,0,2,7,41,3,2
2016-02-01,91,10,5,0,2,2,27,1,4,15,36,9,3
2016-03-01,239,13,10,3,8,3,46,1,22,106,64,9,3
2016-04-01,38,8,4,0,4,2,29,6,11,83,63,14,2
2016-05-01,166,13,8,2,5,3,67,12,16,142,65,11,1
2016-06-01,461,11,3,0,4,3,26,2,16,77,59,11,1
2016-07-01,533,9,0,0,0,0,0,3,4,18,54,9,1
2016-08-01,84,12,3,0,2,1,4,8,36,268,96,9,1
2016-09-01,58,7,1,0,2,2,10,11,17,124,81,9,1
2016-10-01,72,5,3,0,2,2,13,19,6,115,47,14,1
2016-11-01,116,8,6,0,2,1,15,4,10,36,63,14,2
2016-12-01,50,7,4,0,3,2,9,17,12,133,35,9,3
2017-01-01,301,18,26,6,17,2,75,9,34,114,46,14,1
2017-02-01,55,11,5,2,3,2,13,8,12,76,83,13,4
2017-03-01,71,14,9,1,7,3,38,11,29,131,193,20,1
2017-04-01,127,10,10,3,9,2,35,13,25,137,72,13,2
2017-05-01,30,8,7,0,5,2,20,8,14,45,73,19,1
2017-06-01,140,12,11,1,9,3,58,12,25,199,53,15,2
2017-07-01,123,9,1,1,1,1,2,9,29,103,45,5,0
2017-08-01,270,18,46,5,31,4,186,19,50,186,94,30,0
2017-09-01,150,11,23,3,19,2,93,11,43,158,65,11,0
2017-10-01,72,10,30,4,24,4,180,9,42,192,108,10,0
2017-11-01,31,7,16,1,11,3,38,9,21,50,73,17,0
2017-12-01,78,8,14,2,13,4,45,6,27,83,60,7,0
2018-01-01,19,4,8,1,7,4,30,5,28,98,62,14,0
2018-02-01,30,10,25,5,18,3,65,8,31,92,54,12,0
2018-03-01,59,8,23,2,23,3,122,5,33,117,56,10,1
2018-04-01,56,8,29,4,28,3,142,8,44,156,69,13,0
2018-05-01,158,12,22,3,17,2,65,13,33,115,328,27,1
2018-06-01,62,11,32,1,27,2,97,14,64,232,71,14,0
2018-07-01,47,10,28,3,24,2,138,14,66,229,55,10,0
2018-08-01,24,5,7,1,5,1,19,12,9,62,58,10,2
2018-09-01,69,7,10,1,7,2,25,7,17,58,122,16,0
2018-10-01,119,17,41,7,34,4,117,6,83,238,81,20,1
2018-11-01,25,5,19,0,17,2,28,7,24,42,77,14,0
2018-12-01,46,9,30,1,27,2,44,8,41,107,57,12,0
2019-01-01,135,7,24,3,19,3,72,7,51,87,93,17,0
2019-02-01,256,11,24,2,19,2,74,13,29,88,76,16,0
2019-03-01,49,6,8,2,6,3,31,10,24,84,98,15,1
2019-04-01,89,12,36,4,34,3,118,11,51,166,71,11,0
2019-05-01,28,13,21,1,15,3,53,10,23,70,93,14,0
2019-06-01,50,12,25,3,23,3,92,12,35,140,57,14,0
2019-07-01,66,13,38,3,30,4,83,12,45,103,59,8,0
2019-08-01,9,4,3,0,1,1,9,5,2,5,63,8,0
2019-09-01,17,7,13,0,12,2,29,11,24,70,53,7,0
2019-10-01,32,11,24,3,19,3,90,6,31,74,68,10,0
2019-11-01,32,7,23,1,24,3,94,37,46,157,48,8,0
2019-12-01,50,12,25,2,20,3,36,7,31,53,65,9,1
2020-01-01,41,13,33,4,30,3,89,15,50,100,44,18,0
2020-02-01,19,6,14,0,11,2,7,5,18,36,55,8,0
2020-03-01,63,7,35,2,34,2,42,11,59,80,58,12,0
2020-04-01,28,7,28,0,28,2,17,6,40,32,49,10,0
