dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-08-01,37,6,10,2,4,1,20,8,25,57,2563,103,7
2016-09-01,8,2,1,2,3,1,8,4,9,18,188,20,0
2016-10-01,5,2,1,0,0,0,1,1,1,2,44,15,1
2016-11-01,1,1,0,0,1,1,1,0,2,2,37,4,2
2016-12-01,3,1,0,0,0,0,0,0,0,0,159,16,0
2017-01-01,0,0,0,0,0,0,0,2,0,5,69,3,0
2017-02-01,0,0,0,0,0,0,0,2,0,1,55,6,1
2017-03-01,0,0,0,0,0,0,0,0,1,2,63,10,0
2017-04-01,0,0,2,1,0,0,0,3,2,21,48,7,0
2017-05-01,0,0,0,0,0,0,0,1,0,0,42,5,0
2017-06-01,0,0,0,0,0,0,0,0,1,9,39,6,0
2017-07-01,0,0,1,0,0,0,0,1,2,2,62,8,0
2017-08-01,0,0,0,0,0,0,0,0,2,2,44,9,0
2017-09-01,0,0,1,1,0,0,2,2,2,5,38,7,1
2017-10-01,0,0,1,0,0,0,0,2,1,6,47,12,0
2017-11-01,0,0,0,0,0,0,0,0,0,0,54,5,0
2017-12-01,0,0,0,0,0,0,0,3,0,2,36,4,0
2018-01-01,4,1,0,0,0,0,0,3,1,4,43,17,0
2018-02-01,0,0,2,0,0,0,2,2,1,3,54,7,0
2018-03-01,0,0,0,0,0,0,0,3,2,3,35,3,3
2018-04-01,0,0,0,0,0,0,0,2,0,3,38,9,1
2018-05-01,1,1,2,0,0,0,0,4,1,5,38,10,0
2018-06-01,0,0,1,0,0,0,0,2,0,1,39,8,0
2018-07-01,0,0,0,0,0,0,0,2,0,11,29,10,0
2018-08-01,2,1,2,0,0,0,0,5,1,4,45,9,0
2018-09-01,0,0,0,1,0,0,0,1,1,1,35,5,2
2018-10-01,0,0,0,0,0,0,0,0,1,0,27,11,0
2018-11-01,4,2,2,0,1,1,1,4,1,1,36,17,0
2018-12-01,1,1,2,1,0,0,1,0,1,0,53,13,0
2019-01-01,1,1,0,0,1,1,1,3,3,5,52,7,0
2019-02-01,16,1,4,1,0,0,2,2,3,19,660,111,1
