dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-04-01,39,3,1,0,0,0,3,0,6,16,3,1,1
2015-05-01,22,3,0,0,0,0,0,0,5,29,0,0,0
2015-06-01,30,4,0,0,0,0,0,0,9,31,0,0,0
2015-07-01,13,2,1,1,1,1,7,0,10,38,0,0,0
2015-08-01,73,11,37,4,25,4,126,0,72,263,6,9,1
2015-09-01,117,23,76,41,34,4,333,0,132,473,11,12,3
2015-10-01,228,17,114,44,71,5,519,0,161,442,8,9,0
2015-11-01,139,14,57,18,41,5,299,0,101,360,4,7,2
2015-12-01,295,13,75,8,62,4,462,0,100,309,9,5,0
2016-01-01,224,8,44,10,38,4,410,0,67,321,25,9,0
2016-02-01,131,10,53,13,44,7,351,0,70,276,18,5,2
2016-03-01,63,8,13,0,15,4,62,0,25,126,23,2,2
2016-04-01,106,6,40,4,36,3,118,0,50,119,37,4,1
2016-05-01,99,2,21,1,16,3,80,0,23,53,27,6,0
2016-06-01,54,5,16,1,20,4,50,0,26,35,14,5,0
2016-07-01,42,6,13,2,11,3,36,0,23,45,21,2,0
2016-08-01,90,9,33,4,29,6,168,0,45,116,11,4,1
2016-09-01,55,7,23,4,18,3,128,0,34,82,123,7,1
2016-10-01,3,2,2,0,1,1,7,0,2,3,80,4,0
2016-11-01,8,2,0,0,0,0,0,0,0,0,27,2,1
2016-12-01,22,3,3,0,4,1,16,0,4,8,29,1,1
2017-01-01,18,3,3,1,3,2,19,0,4,11,45,3,2
2017-02-01,8,5,6,1,4,2,24,0,8,23,74,4,1
2017-03-01,25,5,5,1,4,3,19,0,6,13,111,4,2
2017-04-01,33,4,4,0,5,3,17,0,8,17,44,2,2
2017-05-01,20,5,8,1,6,2,26,0,7,13,65,2,0
2017-06-01,92,4,11,0,12,3,26,0,19,38,80,0,1
2017-07-01,63,5,11,1,10,1,26,0,14,34,19,15,0
2017-08-01,23,3,2,1,0,0,0,0,2,2,13,2,1
2017-09-01,34,6,5,1,5,3,4,0,17,20,103,2,1
2017-10-01,29,4,13,6,5,3,26,0,15,17,105,4,1
2017-11-01,5,2,0,0,0,0,0,0,0,0,107,5,0
2017-12-01,9,3,1,0,1,1,6,0,2,5,47,2,1
2018-01-01,19,4,5,1,5,1,7,0,7,5,24,0,1
2018-02-01,173,13,15,1,14,2,25,0,15,15,56,8,1
2018-03-01,54,6,12,2,9,2,9,0,12,2,150,6,1
2018-04-01,15,6,5,2,4,3,18,0,7,16,71,5,0
2018-05-01,41,4,9,3,7,2,15,0,10,8,13,4,1
2018-06-01,11,3,1,0,1,1,10,0,1,5,26,1,1
2018-07-01,22,3,4,0,2,2,10,0,2,0,40,0,1
2018-08-01,73,6,5,1,5,2,4,0,20,37,13,4,0
2018-09-01,12,4,3,1,2,2,8,0,3,4,5,4,0
2018-10-01,35,4,7,1,7,2,22,0,12,41,8,7,2
2018-11-01,22,6,6,0,6,4,28,0,7,19,7,4,0
2018-12-01,51,8,12,2,8,4,40,0,11,18,7,2,0
2019-01-01,29,4,7,1,7,3,13,0,9,34,7,2,1
2019-02-01,72,5,25,2,24,2,9,0,28,10,8,6,0
2019-03-01,25,4,6,0,6,3,18,0,6,9,5,3,0
2019-04-01,0,0,0,0,0,0,0,0,0,0,4,5,0
2019-05-01,2,2,1,0,1,1,0,0,5,27,9,6,0
2019-06-01,7,5,2,0,2,2,24,0,2,12,7,3,0
2019-07-01,7,3,2,0,2,1,2,0,2,1,5,2,0
2019-08-01,0,0,0,0,0,0,0,0,0,0,6,2,0
2019-09-01,14,6,5,0,4,3,2,0,4,0,9,11,0
2019-10-01,13,6,8,2,5,4,11,0,7,5,18,12,0
2019-11-01,6,3,4,0,3,2,13,0,3,3,7,12,0
2019-12-01,1,1,0,0,1,1,7,0,1,7,5,3,0
2020-01-01,17,3,3,2,3,2,13,0,8,15,9,2,0
2020-02-01,104,2,5,0,4,1,0,1,5,6,7,4,0
2020-03-01,26,3,3,0,2,2,1,1,7,0,9,8,2
2020-04-01,9,1,2,0,2,1,1,0,1,1,87,3,0
