dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-09-01,38,3,2,0,2,1,4,0,2,2,11,2,2
2015-10-01,87,4,6,4,2,1,12,1,24,32,14,5,3
2015-11-01,60,5,2,2,0,0,2,0,17,18,23,6,5
2015-12-01,134,5,1,1,0,0,4,0,18,31,35,5,2
2016-01-01,109,4,2,2,0,0,4,0,25,48,34,8,3
2016-02-01,22,1,0,0,0,0,0,0,15,45,41,8,2
2016-03-01,31,6,1,1,0,0,2,0,31,67,30,5,5
2016-04-01,61,8,0,0,0,0,0,0,38,87,54,9,4
2016-05-01,42,6,0,0,0,0,0,0,32,89,34,13,2
2016-06-01,94,8,1,0,1,1,0,0,40,63,41,8,1
2016-07-01,37,3,10,5,2,1,8,0,18,26,29,10,1
2016-08-01,14,2,12,6,2,2,35,0,35,173,51,16,6
2016-09-01,29,2,2,1,0,0,3,0,20,73,47,11,2
2016-10-01,9,3,9,3,4,1,32,0,25,72,58,10,2
2016-11-01,27,3,6,8,1,1,22,0,36,127,36,12,4
2016-12-01,16,2,5,7,0,0,14,0,22,51,55,14,2
2017-01-01,121,5,3,4,0,0,14,2,36,153,68,12,1
2017-02-01,57,2,1,1,0,0,4,1,31,71,59,11,2
2017-03-01,41,1,0,0,0,0,0,1,22,141,68,13,0
2017-04-01,46,3,0,0,0,0,0,0,22,71,68,13,6
2017-05-01,100,1,0,0,0,0,0,0,42,106,97,20,1
2017-06-01,32,2,0,0,0,0,0,0,26,82,66,19,2
2017-07-01,44,5,0,0,0,0,0,0,61,165,85,19,4
2017-08-01,54,12,0,4,0,0,2,0,72,160,87,22,4
2017-09-01,32,7,0,0,0,0,0,0,50,142,92,23,4
2017-10-01,17,6,0,0,0,0,0,0,68,229,79,19,3
2017-11-01,9,7,0,0,0,0,0,0,44,149,82,28,3
2017-12-01,12,2,1,0,0,0,6,2,22,59,88,18,4
2018-01-01,12,8,0,0,0,0,0,0,56,176,107,27,3
2018-02-01,7,5,1,0,0,0,1,6,81,260,92,34,4
2018-03-01,19,7,0,0,0,0,0,0,69,207,93,20,3
2018-04-01,6,1,0,0,0,0,0,0,50,131,97,32,3
2018-05-01,5,3,0,0,0,0,0,1,60,170,97,30,3
2018-06-01,14,5,0,0,0,0,0,0,54,121,73,34,1
2018-07-01,19,4,1,1,0,0,0,2,49,170,111,35,4
2018-08-01,51,23,2,1,0,0,32,1,121,323,103,24,2
2018-09-01,29,11,2,0,0,0,19,2,65,175,121,37,2
2018-10-01,10,3,0,0,0,0,0,1,51,136,120,36,2
2018-11-01,32,14,0,0,0,0,0,1,55,124,97,25,3
2018-12-01,12,6,0,0,0,0,0,3,39,114,92,31,3
2019-01-01,17,13,1,0,0,0,29,3,42,116,116,35,2
2019-02-01,48,17,0,0,0,0,0,4,122,332,103,41,0
2019-03-01,93,19,2,0,0,0,0,7,105,254,133,36,2
2019-04-01,127,15,46,33,4,1,103,9,96,202,140,35,1
2019-05-01,53,13,34,26,6,1,55,11,84,213,138,32,1
2019-06-01,70,14,27,23,4,1,70,6,57,127,131,41,1
2019-07-01,35,9,17,14,1,1,43,4,29,86,103,29,1
2019-08-01,22,10,15,6,5,1,28,3,27,64,97,28,1
2019-09-01,9,8,15,5,5,1,18,4,20,35,77,34,1
2019-10-01,13,11,21,18,1,1,37,4,38,94,77,28,0
2019-11-01,30,13,16,18,0,0,19,5,50,84,99,30,1
2019-12-01,27,14,18,14,6,1,43,5,33,62,84,38,1
2020-01-01,72,16,31,21,8,1,51,9,58,130,89,35,0
2020-02-01,12,4,9,8,0,0,25,7,23,91,106,44,0
2020-03-01,2,1,12,0,0,0,13,13,20,65,137,52,0
2020-04-01,51,11,23,17,4,1,53,4,51,119,111,63,1
