dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-04-01,64,6,7,1,5,1,29,0,13,39,703,24,2
2015-05-01,72,7,15,2,10,1,46,0,35,87,685,40,1
2015-06-01,83,9,16,2,9,1,39,0,20,37,758,44,2
2015-07-01,9,2,4,0,4,1,0,0,5,1,111,3,3
2015-08-01,0,0,0,0,0,0,0,0,0,0,37,6,0
2015-09-01,22,1,0,0,0,0,0,0,7,18,71,6,4
2015-10-01,28,2,2,0,1,1,0,0,2,3,70,7,0
2015-11-01,6,2,2,0,1,1,1,0,3,6,75,13,0
2015-12-01,12,2,1,0,1,1,2,0,1,1,57,9,3
2016-01-01,0,0,0,0,0,0,0,0,0,0,57,5,3
2016-02-01,13,2,1,0,1,1,6,1,7,27,189,13,0
2016-03-01,11,2,1,1,0,0,8,0,5,4,73,12,1
2016-04-01,5,2,0,0,1,1,8,0,3,12,33,5,0
2016-05-01,17,3,6,0,5,1,1,0,7,2,77,8,2
2016-06-01,141,5,8,13,4,1,41,0,42,112,1301,74,0
2016-07-01,0,0,0,0,0,0,0,0,2,5,133,13,1
2016-08-01,0,0,0,0,0,0,0,0,0,0,42,7,0
2016-09-01,0,0,0,0,0,0,0,0,1,2,64,7,0
2016-10-01,0,0,0,0,0,0,0,0,0,0,39,4,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,47,3,0
2016-12-01,14,1,0,0,0,0,0,0,0,0,35,2,1
2017-01-01,0,0,0,0,0,0,0,0,0,0,34,2,0
2017-02-01,26,2,1,1,2,1,1,0,3,1,38,5,0
2017-03-01,3,1,0,0,0,0,0,0,0,0,43,7,0
2017-04-01,29,1,0,0,0,0,0,0,0,0,39,3,1
2017-05-01,259,2,0,0,0,0,0,0,34,95,172,19,0
2017-06-01,135,9,18,1,15,2,76,1,50,132,538,71,3
2017-07-01,16,3,7,1,6,2,70,0,13,66,67,13,2
2017-08-01,21,5,10,1,7,2,46,1,19,41,68,7,0
2017-09-01,51,5,14,1,15,2,72,0,27,60,78,10,1
2017-10-01,27,6,7,0,6,2,8,1,16,24,43,8,0
2017-11-01,0,0,0,0,0,0,0,0,0,0,36,7,2
2017-12-01,2,2,0,0,2,2,16,0,2,16,46,4,0
2018-01-01,17,3,7,0,5,1,17,0,5,3,34,2,1
2018-02-01,6,2,2,0,1,1,19,0,1,0,29,1,1
2018-03-01,63,4,20,1,22,2,51,0,25,41,72,8,0
2018-04-01,38,3,5,0,3,1,47,0,3,24,45,8,0
2018-05-01,93,4,26,1,25,2,78,4,35,111,106,5,1
2018-06-01,91,6,34,5,29,3,87,5,70,145,315,38,0
2018-07-01,22,3,7,0,9,2,36,1,15,52,62,7,0
2018-08-01,17,3,3,0,2,2,45,0,3,35,49,10,0
2018-09-01,9,3,3,1,1,1,20,0,3,14,59,7,1
2018-10-01,18,2,4,1,4,1,68,3,7,65,35,3,2
2018-11-01,22,3,6,1,6,1,23,0,14,44,40,7,0
2018-12-01,0,0,0,0,0,0,0,0,0,0,30,7,0
2019-01-01,0,0,0,0,0,0,0,0,0,0,55,5,0
2019-02-01,0,0,0,0,0,0,0,0,1,3,27,0,0
2019-03-01,18,2,2,1,1,1,10,4,3,13,49,7,1
2019-04-01,1,1,0,0,0,0,0,0,0,0,45,4,0
2019-05-01,19,3,8,1,7,1,19,2,19,55,129,12,0
2019-06-01,14,4,7,1,6,1,13,12,18,67,197,15,1
2019-07-01,3,2,1,1,1,1,1,2,3,13,45,6,0
2019-08-01,0,0,0,0,0,0,0,0,0,0,34,2,0
2019-09-01,3,2,1,0,1,1,2,2,2,6,39,7,0
2019-10-01,2,1,2,0,0,0,1,0,0,0,32,6,0
2019-11-01,2,1,1,1,1,1,2,0,2,1,35,4,0
2019-12-01,2,2,1,1,1,1,3,0,2,2,24,2,0
2020-01-01,0,0,0,0,0,0,0,0,0,0,28,3,0
2020-02-01,0,0,2,0,0,0,0,1,1,1,33,6,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,34,5,0
2020-04-01,8,2,0,0,1,1,0,0,0,0,43,7,1
