dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-05-01,17,1,0,0,0,0,0,0,1,5,12,2,0
2015-06-01,18,3,4,1,2,1,5,0,5,10,8,2,1
2015-07-01,25,2,4,1,4,1,17,0,13,48,20,4,3
2015-08-01,29,3,2,0,2,1,2,1,17,79,17,6,2
2015-09-01,61,7,6,0,4,1,16,0,17,55,15,8,0
2015-10-01,128,5,13,3,12,1,62,4,38,180,14,10,3
2015-11-01,119,6,24,6,17,1,48,1,50,159,31,10,1
2015-12-01,55,4,9,4,4,1,52,2,29,132,35,10,0
2016-01-01,102,8,15,3,12,1,117,5,49,305,32,19,0
2016-02-01,87,10,14,3,12,1,76,3,47,249,33,16,2
2016-03-01,201,12,22,3,18,1,117,6,73,516,71,25,1
2016-04-01,73,7,10,3,5,1,55,4,43,205,54,17,4
2016-05-01,66,7,10,2,7,1,93,6,42,172,74,16,1
2016-06-01,41,5,6,2,3,1,61,7,49,236,65,21,0
2016-07-01,143,5,11,2,1,1,33,8,24,76,58,15,1
2016-08-01,125,7,7,1,11,1,44,3,85,320,71,24,0
2016-09-01,68,5,6,1,4,1,14,7,61,289,71,28,0
2016-10-01,80,8,7,2,3,1,45,6,46,223,52,17,0
2016-11-01,98,5,11,3,8,1,92,6,51,221,88,25,0
2016-12-01,72,4,7,4,5,1,65,6,56,304,59,18,0
2017-01-01,92,6,5,2,1,1,31,8,80,399,83,15,0
2017-02-01,82,5,4,2,4,1,36,14,85,616,90,21,1
2017-03-01,50,4,5,0,3,1,35,15,67,329,104,35,1
2017-04-01,93,9,13,2,6,1,62,11,79,334,80,35,0
2017-05-01,98,7,7,3,9,1,59,15,89,422,68,24,0
2017-06-01,56,6,4,0,4,1,16,13,44,197,75,23,0
2017-07-01,75,7,6,1,5,1,41,16,83,340,72,29,1
2017-08-01,48,5,9,4,3,1,21,15,51,365,65,23,1
2017-09-01,51,6,10,2,8,1,52,15,60,256,56,20,0
2017-10-01,32,4,2,1,1,1,16,16,59,201,62,29,1
2017-11-01,39,4,5,1,1,1,25,8,48,160,67,16,0
2017-12-01,41,4,3,0,4,1,14,12,41,138,48,12,0
2018-01-01,8,1,5,2,1,1,58,4,58,365,43,200,4
