dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-03-01,31,1,0,0,0,0,0,0,2,12,6,0,0
2015-04-01,32,1,0,0,0,0,0,0,2,4,3,0,2
2015-05-01,40,1,0,0,0,0,0,0,1,2,8,3,0
2015-06-01,1,1,0,0,0,0,0,0,2,3,7,0,1
2015-07-01,7,1,0,0,0,0,0,0,2,4,7,0,0
2015-08-01,11,3,1,0,1,1,16,0,9,18,7,3,0
2015-09-01,4,1,0,0,0,0,0,0,1,9,4,0,2
2015-10-01,15,1,0,0,0,0,0,0,1,2,5,0,2
2015-11-01,14,1,0,0,0,0,0,0,5,14,4,1,1
2015-12-01,14,4,4,0,4,1,16,0,5,8,5,4,0
2016-01-01,9,3,2,0,1,1,8,0,1,1,14,3,0
2016-02-01,4,2,1,0,1,1,7,0,2,17,5,5,1
2016-03-01,9,1,0,0,0,0,0,0,4,2,10,1,3
2016-04-01,11,1,0,0,0,0,0,0,1,1,6,2,0
2016-05-01,0,0,1,0,0,0,1,0,0,0,9,6,2
2016-06-01,5,2,1,0,1,1,2,0,3,5,11,0,2
2016-07-01,10,2,1,0,1,1,10,0,1,5,5,1,0
2016-08-01,12,1,0,2,0,0,2,0,15,44,7,2,0
2016-09-01,18,1,0,0,0,0,0,0,9,22,10,0,0
2016-10-01,55,1,0,0,0,0,0,0,4,14,4,0,0
2016-11-01,38,1,1,0,0,0,3,0,12,47,16,2,0
2016-12-01,44,4,3,0,3,1,23,0,8,15,20,4,3
2017-01-01,19,3,3,0,2,1,14,0,9,42,28,4,0
2017-02-01,4,2,2,0,1,1,6,0,8,26,26,7,0
2017-03-01,7,6,3,1,5,1,56,0,10,59,17,2,1
2017-04-01,18,4,5,2,3,1,18,0,11,20,25,5,0
2017-05-01,32,1,1,0,0,0,6,0,3,24,22,0,1
2017-06-01,21,3,3,1,2,1,16,0,120,282,22,5,0
2017-07-01,7,1,0,0,0,0,0,0,18,41,21,0,0
2017-08-01,6,2,1,0,1,1,2,0,19,29,11,6,0
2017-09-01,4,4,2,0,3,1,10,0,17,25,24,6,0
2017-10-01,3,2,1,0,1,1,2,0,3,2,17,4,1
2017-11-01,8,4,4,0,3,1,17,0,14,40,20,6,0
2017-12-01,14,3,1,0,2,1,5,0,12,29,17,3,1
2018-01-01,0,0,0,0,0,0,0,0,1,10,21,0,1
2018-02-01,2,2,2,0,2,1,4,1,5,11,15,3,0
2018-03-01,0,0,1,0,0,0,1,0,1,0,10,7,0
2018-04-01,3,3,1,0,2,1,11,1,3,10,23,4,1
2018-05-01,0,0,0,0,0,0,0,0,0,0,28,6,1
2018-06-01,1,1,1,0,1,1,10,0,4,10,29,3,0
2018-07-01,1,1,2,0,1,1,3,0,3,11,31,5,1
2018-08-01,6,4,4,0,5,1,33,0,11,32,28,3,0
2018-09-01,1,1,1,0,1,1,4,0,1,2,19,3,0
2018-10-01,12,2,3,1,0,0,3,0,8,26,25,5,0
2018-11-01,8,4,2,0,3,1,7,0,4,7,22,8,0
2018-12-01,0,0,3,0,0,0,14,1,0,6,20,9,1
2019-01-01,4,4,3,0,4,1,17,0,4,12,31,7,2
2019-02-01,1,1,3,1,1,1,7,1,3,10,24,6,1
2019-03-01,0,0,4,2,0,0,9,0,4,5,29,8,0
2019-04-01,8,6,2,1,5,1,13,0,8,11,42,5,1
2019-05-01,3,3,6,0,3,1,11,0,5,8,33,7,0
2019-06-01,4,4,3,0,3,1,8,1,5,23,30,8,0
2019-07-01,4,4,2,0,3,1,6,4,5,11,35,4,0
2019-08-01,0,0,5,1,0,0,10,4,3,20,29,8,1
2019-09-01,6,6,0,0,5,1,11,1,8,38,33,4,0
2019-10-01,1,1,1,0,1,1,2,8,2,19,34,5,0
2019-11-01,10,4,2,0,3,1,6,19,90,218,34,7,1
2019-12-01,0,0,1,0,0,0,2,9,202,692,23,4,0
2020-01-01,7,5,3,0,4,1,10,15,16,51,27,6,1
2020-02-01,1,1,1,0,1,1,2,4,14,33,40,5,0
2020-03-01,3,2,2,0,2,1,4,9,42,125,20,17,1
