dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-10-01,23,1,0,0,0,0,0,0,2,11,1,0,1
2015-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,0,0,0,0,2,1,2
2016-02-01,0,0,0,0,0,0,0,0,0,0,2,0,1
2016-03-01,10,2,1,0,0,0,4,0,2,8,4,1,2
2016-04-01,66,2,6,0,7,1,98,0,11,62,6,2,0
2016-05-01,5,2,1,0,1,1,2,0,1,1,4,1,0
2016-06-01,16,2,1,0,0,0,4,0,5,13,4,1,2
2016-07-01,12,3,3,1,0,0,5,0,5,22,6,2,1
2016-08-01,21,2,5,0,6,1,15,0,13,45,14,4,1
2016-09-01,1,1,1,0,0,0,1,0,0,0,11,2,1
2016-10-01,8,2,0,0,2,2,3,0,7,19,4,3,1
2016-11-01,8,1,0,0,0,0,0,1,13,30,10,4,1
2016-12-01,14,2,1,0,1,1,0,0,5,14,17,5,2
2017-01-01,66,3,4,1,2,1,13,0,18,102,18,6,1
2017-02-01,99,6,14,4,8,1,48,0,28,54,29,7,0
2017-03-01,147,7,23,5,20,1,61,0,39,96,36,7,2
2017-04-01,37,7,9,1,7,1,18,1,20,70,27,6,0
2017-05-01,11,2,1,1,2,1,5,0,10,39,18,3,4
2017-06-01,4,2,2,1,0,0,4,0,6,19,22,5,2
2017-07-01,96,6,25,1,22,2,87,1,50,153,38,6,4
2017-08-01,52,7,18,1,13,1,50,1,35,105,37,3,1
2017-09-01,55,7,11,0,17,1,21,2,59,183,46,9,1
2017-10-01,24,5,4,1,2,1,6,1,15,21,35,8,0
2017-11-01,29,3,1,0,3,1,2,2,24,63,39,7,2
2017-12-01,12,3,0,0,0,0,0,3,16,79,53,6,1
2018-01-01,9,2,0,0,0,0,0,0,13,19,53,4,1
2018-02-01,6,2,1,0,1,1,4,0,9,22,37,11,2
2018-03-01,19,4,4,1,3,1,0,0,24,54,50,11,0
2018-04-01,8,2,1,0,0,0,8,2,7,13,64,4,1
2018-05-01,9,3,2,1,1,1,4,1,18,83,70,6,3
2018-06-01,9,3,5,1,0,0,6,1,8,21,43,11,1
2018-07-01,40,4,3,1,5,1,10,3,41,142,72,5,0
2018-08-01,44,3,3,1,2,1,5,1,41,140,50,9,1
2018-09-01,68,8,13,3,8,1,49,5,45,207,73,15,0
2018-10-01,37,7,11,2,4,1,28,4,20,46,93,8,3
2018-11-01,28,5,5,1,9,1,22,1,32,81,64,13,0
2018-12-01,11,4,3,0,2,1,5,6,18,59,86,6,1
2019-01-01,94,7,17,2,15,1,38,7,48,233,102,12,0
2019-02-01,53,6,6,3,3,1,12,5,33,147,90,10,1
2019-03-01,58,9,7,0,4,1,14,8,20,85,99,16,0
2019-04-01,38,5,5,2,5,1,8,3,34,155,98,17,1
2019-05-01,25,4,5,0,5,1,19,11,17,74,100,18,0
2019-06-01,36,5,3,2,2,1,27,4,19,69,86,15,0
2019-07-01,55,4,7,5,4,1,63,7,57,329,103,13,0
2019-08-01,29,7,4,0,0,0,1,8,22,88,103,18,0
2019-09-01,13,1,0,0,4,1,1,4,17,37,82,9,0
2019-10-01,22,5,7,0,6,1,10,4,12,25,189,16,0
2019-11-01,14,3,3,0,5,1,1,4,20,49,87,11,0
2019-12-01,63,7,6,0,2,1,31,4,28,121,145,15,0
2020-01-01,80,9,13,0,12,1,23,11,32,85,153,15,0
2020-02-01,92,13,15,1,15,1,64,11,64,261,130,23,0
2020-03-01,21,7,8,1,5,1,16,13,32,122,146,19,1
2020-04-01,22,2,5,2,7,1,39,8,32,164,94,22,0
