dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-09-01,203,56,33,3,29,3,398,0,45,261,95,12,3
2016-10-01,30,14,23,0,23,3,190,1,43,257,114,8,2
2016-11-01,75,13,52,4,46,5,628,4,111,804,97,7,2
2016-12-01,55,8,43,5,33,4,376,0,84,569,164,8,1
2017-01-01,146,13,96,5,87,3,741,1,156,782,137,8,3
2017-02-01,102,12,55,2,60,3,669,1,127,736,76,9,0
2017-03-01,90,12,47,1,46,4,418,1,99,518,121,14,1
2017-04-01,103,11,48,3,40,3,335,1,94,440,96,12,0
2017-05-01,75,11,35,2,34,4,307,0,100,509,106,11,1
2017-06-01,56,13,28,1,30,2,278,2,56,350,83,6,0
2017-07-01,59,11,25,2,22,2,260,1,67,368,87,11,1
2017-08-01,24,5,11,2,10,1,150,0,44,342,78,8,2
2017-09-01,37,10,15,1,15,2,92,1,63,298,68,9,3
2017-10-01,22,8,12,0,12,2,74,0,30,83,103,8,4
2017-11-01,19,5,9,0,7,2,79,0,37,188,82,2,2
2017-12-01,39,10,24,3,19,1,185,0,52,285,77,10,0
2018-01-01,30,7,24,1,15,2,189,0,87,575,114,11,0
2018-02-01,40,13,18,1,23,2,160,0,73,424,83,13,0
2018-03-01,42,13,25,7,22,2,283,0,73,333,104,11,1
2018-04-01,17,8,15,0,12,3,102,0,36,191,86,10,5
2018-05-01,87,11,54,3,48,2,539,0,97,530,101,13,2
2018-06-01,133,15,83,5,78,3,869,1,176,931,94,13,1
2018-07-01,55,8,37,6,35,2,397,3,89,575,102,10,0
2018-08-01,26,7,19,4,14,2,123,0,53,212,117,13,2
2018-09-01,15,7,11,2,10,2,61,2,40,113,94,12,3
2018-10-01,46,10,30,4,25,3,237,3,77,346,111,15,0
2018-11-01,8,4,6,0,5,1,47,2,26,105,89,17,1
2018-12-01,16,5,12,2,10,2,112,3,32,183,78,10,1
2019-01-01,40,11,24,3,21,4,211,3,65,345,154,23,4
2019-02-01,27,7,18,3,14,2,91,4,49,216,134,15,0
2019-03-01,31,6,24,3,16,2,255,5,60,304,141,22,0
2019-04-01,19,6,20,10,11,3,137,0,52,245,128,11,0
2019-05-01,6,5,6,3,6,2,27,2,30,89,94,7,0
2019-06-01,2,2,4,0,1,1,54,2,18,45,84,14,0
2019-07-01,30,7,24,2,13,2,162,6,50,206,102,13,1
2019-08-01,32,7,14,6,19,2,135,0,58,230,111,18,0
2019-09-01,10,5,9,3,5,2,36,4,30,110,94,14,0
2019-10-01,21,8,14,2,10,2,119,2,36,151,97,15,0
2019-11-01,13,3,9,5,8,2,89,4,43,242,128,14,0
2019-12-01,22,6,14,1,9,1,57,4,35,116,77,7,1
2020-01-01,10,2,9,1,5,1,41,1,19,50,119,17,0
2020-02-01,40,8,12,4,9,2,83,0,32,142,108,12,0
2020-03-01,31,12,18,2,23,3,125,2,64,303,154,20,0
2020-04-01,81,10,26,5,26,3,286,2,62,369,105,18,1
