dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-06-01,136,3,1,0,1,1,0,0,1,0,20,2,2
2015-07-01,0,0,0,0,0,0,0,0,0,0,2,0,2
2015-08-01,0,0,0,0,0,0,0,0,0,0,1,0,4
2015-09-01,0,0,0,0,0,0,0,0,0,0,4,0,1
2015-10-01,0,0,0,0,0,0,0,0,0,0,8,1,1
2015-11-01,4,2,0,0,0,0,0,0,0,0,1,0,2
2015-12-01,10,1,0,0,0,0,0,0,0,0,2,0,1
2016-01-01,45,2,0,0,0,0,0,0,2,14,4,0,0
2016-02-01,17,2,2,1,1,1,2,0,2,1,7,4,0
2016-03-01,3,1,0,0,0,0,0,0,0,0,7,1,1
2016-04-01,3,1,0,0,0,0,0,0,1,10,6,2,1
2016-05-01,2,2,1,0,1,1,4,0,1,2,4,1,4
2016-06-01,0,0,0,0,0,0,0,0,0,0,4,0,2
2016-07-01,2,2,2,0,1,1,8,0,1,3,10,2,0
2016-08-01,0,0,0,1,0,0,2,0,1,2,5,1,1
2016-09-01,0,0,0,0,0,0,0,0,0,0,3,1,1
2016-10-01,4,2,0,0,0,0,0,0,0,0,12,1,0
2016-11-01,42,3,5,0,5,1,22,0,9,30,9,2,2
2016-12-01,99,3,9,0,9,2,44,0,15,45,12,1,2
2017-01-01,35,3,4,0,4,1,20,0,10,22,13,3,2
2017-02-01,1,1,0,0,0,0,0,0,1,2,9,2,0
2017-03-01,50,8,18,5,12,2,100,0,26,52,48,6,1
2017-04-01,55,7,21,3,17,2,100,0,30,69,29,6,0
2017-05-01,82,7,19,1,18,2,220,0,37,160,34,4,0
2017-06-01,11,3,3,0,3,1,16,0,6,26,25,2,0
2017-07-01,3,3,1,1,2,1,52,0,4,48,37,2,3
2017-08-01,1,1,0,0,0,0,0,0,2,10,37,4,0
2017-09-01,6,1,1,0,0,0,7,0,3,15,50,3,1
2017-10-01,8,4,5,0,5,2,40,1,9,69,55,4,0
2017-11-01,6,2,3,0,3,2,28,0,6,35,34,3,1
2017-12-01,19,3,4,1,4,2,33,0,7,27,22,1,1
2018-01-01,32,5,10,0,8,2,147,0,9,58,191,12,2
2018-02-01,26,6,6,0,6,2,50,1,9,89,39,6,0
2018-03-01,22,5,5,0,5,1,10,0,11,22,50,5,0
2018-04-01,9,3,7,0,6,2,29,0,11,20,39,3,0
2018-05-01,5,3,3,0,3,2,32,0,3,16,27,2,1
2018-06-01,12,4,5,1,4,2,14,0,10,48,28,2,0
2018-07-01,7,5,2,0,3,2,11,0,6,17,29,7,0
2018-08-01,4,2,3,0,2,1,21,0,6,12,68,14,0
2018-09-01,7,5,3,1,2,1,28,0,5,27,62,12,3
2018-10-01,4,3,5,1,3,2,20,0,7,17,29,7,0
2018-11-01,14,5,5,0,6,2,51,0,14,63,792,68,0
2018-12-01,4,3,6,1,4,2,41,1,7,45,588,72,1
2019-01-01,3,3,8,0,3,1,38,0,5,7,252,34,1
2019-02-01,6,6,4,0,6,1,23,0,9,20,215,30,1
2019-03-01,23,10,22,6,15,2,143,1,37,156,185,25,0
2019-04-01,65,6,33,9,26,1,182,2,72,371,274,28,1
2019-05-01,47,11,26,9,22,1,140,0,63,280,183,24,1
2019-06-01,23,6,24,5,18,1,44,2,45,164,163,17,0
2019-07-01,13,6,11,0,9,1,52,1,22,73,189,24,0
2019-08-01,25,5,18,2,17,1,49,2,48,222,177,27,0
2019-09-01,44,8,27,0,29,2,139,2,49,221,159,29,1
2019-10-01,37,17,36,3,30,2,291,5,60,325,176,30,0
2019-11-01,11,10,14,0,10,1,56,9,25,129,238,31,2
2019-12-01,12,6,11,0,9,1,43,1,28,61,142,23,0
2020-01-01,27,12,22,3,21,2,130,2,58,432,140,17,0
2020-02-01,36,11,34,3,27,1,102,7,51,214,114,24,4
2020-03-01,15,10,16,2,15,1,71,14,38,193,176,41,0
2020-04-01,26,5,5,1,4,1,27,1,8,122,44,14,0
