dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-03-01,0,0,0,0,0,0,0,0,2,2,0,0,1
2015-04-01,51,4,0,0,0,0,0,0,30,52,0,0,2
2015-05-01,115,4,0,0,0,0,0,0,32,43,0,0,1
2015-06-01,76,3,0,0,0,0,0,0,26,52,0,0,1
2015-07-01,94,4,3,1,1,1,7,0,54,97,0,0,0
2015-08-01,248,6,50,1,48,1,288,1,151,309,1,1,0
2015-09-01,80,6,26,3,19,1,266,1,64,170,1,4,0
2015-10-01,150,7,27,7,21,1,262,2,82,292,6,1,1
2015-11-01,75,7,25,3,20,2,79,0,53,117,3,1,0
2015-12-01,38,5,13,2,9,1,56,0,35,73,5,1,0
2016-01-01,27,4,13,4,9,1,73,1,25,48,0,1,0
2016-02-01,9,2,10,2,3,1,98,0,14,25,6,1,1
2016-03-01,21,6,12,1,8,3,190,0,22,72,7,0,0
2016-04-01,116,9,32,10,17,1,462,3,77,308,7,1,1
2016-05-01,64,9,28,12,22,2,337,1,100,337,124,12,0
2016-06-01,130,9,45,5,44,2,433,1,124,438,18,4,0
2016-07-01,93,8,21,5,21,1,279,2,63,264,28,3,3
2016-08-01,24,5,19,1,11,2,187,0,25,77,16,4,0
2016-09-01,42,5,15,3,12,1,232,0,33,173,12,2,0
2016-10-01,46,6,25,1,17,2,316,3,43,145,13,2,0
2016-11-01,132,9,39,8,32,3,419,1,102,319,6,3,0
2016-12-01,79,6,22,2,21,2,262,1,72,204,10,5,0
2017-01-01,46,11,18,2,21,2,203,2,49,210,8,1,0
2017-02-01,65,7,26,2,23,1,166,3,55,145,7,1,0
2017-03-01,99,6,30,1,26,1,165,2,55,80,25,5,0
2017-04-01,85,9,23,3,18,1,127,7,36,93,6,4,0
2017-05-01,117,10,16,1,11,2,74,5,18,41,17,5,0
2017-06-01,93,9,15,4,23,1,212,7,49,243,8,3,0
2017-07-01,99,9,21,1,9,1,274,6,25,173,9,7,0
2017-08-01,165,16,22,2,20,1,373,2,52,285,11,5,0
2017-09-01,111,10,26,5,23,1,228,4,50,198,10,4,0
2017-10-01,64,8,13,0,12,1,83,3,27,95,15,5,0
2017-11-01,111,10,13,2,10,1,208,3,29,133,18,5,0
2017-12-01,63,8,9,2,11,2,132,1,20,123,10,3,0
2018-01-01,103,14,20,2,18,1,155,2,29,124,10,5,0
2018-02-01,186,8,29,9,18,2,309,1,44,168,9,5,0
2018-03-01,176,12,35,7,36,2,296,7,85,247,8,2,0
2018-04-01,62,8,12,3,12,1,82,3,40,113,13,3,0
2018-05-01,149,4,15,7,13,1,132,6,64,187,7,4,0
2018-06-01,140,6,18,3,13,1,113,4,35,129,7,3,0
2018-07-01,112,6,24,7,23,1,310,5,62,242,18,6,0
2018-08-01,122,5,20,0,19,1,375,3,48,236,15,2,0
2018-09-01,94,6,11,1,10,1,144,3,21,114,12,4,0
2018-10-01,117,7,15,1,12,1,106,7,27,153,13,3,0
2018-11-01,117,7,22,2,19,2,86,12,39,97,5,3,0
2018-12-01,9,3,3,0,3,1,25,2,5,16,11,2,0
2019-01-01,27,5,10,0,9,1,8,6,14,27,13,3,0
2019-02-01,25,5,3,1,2,1,27,0,3,8,5,1,0
2019-03-01,21,6,14,3,8,3,60,10,24,99,18,4,0
2019-04-01,82,7,22,1,22,3,76,16,64,116,6,5,0
2019-05-01,111,6,23,2,21,4,94,6,59,112,5,3,0
2019-06-01,64,6,11,2,11,3,36,4,20,54,8,3,0
2019-07-01,59,9,15,0,14,5,23,2,25,43,6,3,0
2019-08-01,80,4,11,2,7,4,33,3,17,37,10,2,0
2019-09-01,83,9,14,1,11,2,47,4,23,54,5,5,0
2019-10-01,44,7,14,3,9,3,41,9,25,62,10,4,0
2019-11-01,14,6,21,3,13,4,93,7,23,60,12,1,0
2019-12-01,11,4,12,0,11,2,22,2,22,19,7,4,0
2020-01-01,25,5,23,6,20,2,77,8,41,86,7,2,0
2020-02-01,24,6,24,3,22,3,122,9,47,190,8,2,0
2020-03-01,15,6,13,2,14,3,64,4,29,94,7,2,0
2020-04-01,20,6,12,2,14,3,83,4,59,543,7,4,0
