dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-12-01,48,3,1,0,1,1,0,0,1,0,7,1,0
2017-01-01,64,5,3,0,2,1,3,0,4,2,16,1,0
2017-02-01,47,3,0,0,0,0,0,0,0,0,3,1,1
2017-03-01,48,4,0,0,0,0,0,0,0,0,12,2,1
2017-04-01,19,4,4,1,2,2,5,0,16,14,15,5,0
2017-05-01,20,2,0,1,0,0,1,0,10,8,15,4,0
2017-06-01,6,1,1,0,0,0,1,0,4,2,9,1,0
2017-07-01,69,3,5,3,2,1,5,0,22,4,10,3,0
2017-08-01,176,4,1,0,0,0,3,0,16,9,18,3,0
2017-09-01,142,4,2,3,0,0,8,0,30,34,63,7,0
2017-10-01,97,6,10,8,4,2,20,0,65,60,24,7,1
2017-11-01,32,7,5,2,2,1,1,0,23,16,14,7,0
2017-12-01,129,6,2,0,3,1,3,0,68,28,17,2,0
2018-01-01,22,4,2,0,0,0,3,0,21,24,22,5,0
2018-02-01,44,6,5,2,3,1,8,0,35,42,24,7,0
2018-03-01,46,5,6,0,1,1,7,1,33,40,58,10,1
2018-04-01,38,4,3,1,3,1,5,1,30,30,52,12,1
2018-05-01,85,8,5,2,4,1,12,1,34,45,27,8,0
2018-06-01,129,8,7,1,4,1,11,2,37,17,37,12,0
2018-07-01,185,9,6,7,4,1,11,3,50,36,47,16,1
2018-08-01,136,5,8,4,3,1,21,1,27,14,37,7,0
2018-09-01,85,7,3,2,3,1,15,3,41,45,48,5,0
2018-10-01,36,4,2,1,0,0,2,7,7,25,45,6,1
2018-11-01,71,3,7,1,1,1,5,2,37,10,26,11,1
2018-12-01,133,5,7,5,2,1,13,2,63,27,50,16,0
2019-01-01,39,4,9,7,0,0,10,2,38,39,65,10,1
2019-02-01,58,6,11,8,5,2,9,2,34,23,74,8,0
2019-03-01,58,8,9,5,5,2,12,0,35,27,53,15,0
2019-04-01,35,6,6,1,3,1,10,4,36,35,55,9,0
2019-05-01,46,6,7,6,9,2,20,3,49,74,29,12,0
2019-06-01,49,7,11,0,8,1,21,4,32,29,35,14,0
2019-07-01,42,5,3,1,1,1,5,2,25,43,30,18,0
2019-08-01,32,5,7,1,4,1,15,9,19,30,20,10,0
2019-09-01,26,4,0,1,0,0,1,10,10,11,27,5,0
2019-10-01,60,7,13,2,3,1,22,11,22,23,32,7,0
2019-11-01,42,5,5,4,4,1,13,7,36,51,26,6,0
2019-12-01,11,6,6,0,0,0,8,8,2,14,28,10,0
2020-01-01,108,6,14,7,4,1,21,5,41,36,38,17,0
2020-02-01,64,5,7,2,0,0,12,3,18,12,40,5,0
2020-03-01,156,6,3,17,4,1,20,17,96,71,42,11,0
2020-04-01,163,5,5,7,3,2,6,0,67,32,24,8,0
