dates,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-10-01,24,3,2,0,2,1,2,0,2,1,0,0,2
2015-11-01,133,16,34,7,24,1,134,0,101,441,394,23,4
2015-12-01,51,7,7,3,2,1,46,0,33,93,85,6,1
2016-01-01,31,3,5,1,6,1,37,0,19,68,61,7,2
2016-02-01,22,4,3,0,3,1,8,0,23,61,75,6,0
2016-03-01,43,9,8,0,8,1,59,0,46,172,814,18,1
2016-04-01,28,3,6,2,5,1,47,0,46,218,83,8,1
2016-05-01,10,3,3,0,2,1,6,0,17,75,75,11,0
2016-06-01,10,4,6,1,1,1,45,0,17,65,76,5,0
2016-07-01,35,5,9,2,6,3,68,0,23,86,70,6,3
2016-08-01,33,5,9,1,7,1,42,0,43,164,43,12,2
2016-09-01,26,5,17,3,10,2,60,0,29,65,52,5,0
2016-10-01,48,5,19,6,19,2,83,1,70,332,52,8,0
2016-11-01,43,8,26,4,21,1,100,0,65,337,71,19,3
2016-12-01,4,4,2,0,3,1,12,1,19,141,60,10,1
2017-01-01,40,10,19,3,19,1,74,0,99,592,68,7,0
2017-02-01,38,9,24,2,22,2,82,2,82,402,71,12,1
2017-03-01,45,4,18,2,15,1,73,1,64,340,105,9,1
2017-04-01,22,6,18,1,13,1,106,0,42,192,89,14,0
2017-05-01,33,6,5,0,6,1,34,0,50,224,66,9,0
2017-06-01,23,9,8,1,9,1,69,0,51,270,63,10,0
2017-07-01,40,9,16,1,14,1,122,0,70,466,88,17,2
2017-08-01,20,5,10,1,6,1,55,1,37,242,74,13,0
2017-09-01,43,10,16,1,14,1,141,0,67,318,87,10,3
2017-10-01,23,6,12,0,10,1,79,0,50,158,78,12,0
2017-11-01,45,10,14,2,11,1,80,3,75,369,74,8,0
2017-12-01,21,6,5,3,5,1,44,2,50,285,75,6,3
2018-01-01,27,4,4,1,3,1,17,0,81,552,93,5,0
2018-02-01,27,13,19,6,12,1,81,2,45,188,85,16,0
2018-03-01,28,9,12,1,9,1,79,1,44,160,99,18,1
2018-04-01,13,4,11,0,4,1,78,0,28,108,93,9,0
2018-05-01,36,12,19,6,16,1,173,2,65,393,94,16,1
2018-06-01,34,12,13,1,15,1,145,3,75,384,98,12,2
2018-07-01,18,7,13,3,8,1,58,2,43,206,95,8,0
2018-08-01,40,9,17,5,10,1,84,3,75,351,112,18,1
2018-09-01,43,9,9,3,7,1,147,3,43,414,145,14,1
2018-10-01,75,28,50,7,31,1,221,2,98,419,125,40,1
2018-11-01,39,16,29,5,24,1,193,3,75,391,114,20,0
2018-12-01,24,4,14,4,4,1,67,3,45,300,83,9,1
2019-01-01,34,13,19,12,22,1,142,3,73,378,118,11,0
2019-02-01,31,8,21,3,13,3,110,5,57,427,125,12,1
2019-03-01,40,11,12,5,15,3,193,6,70,482,111,12,0
2019-04-01,31,6,7,0,5,3,18,5,60,400,135,12,1
2019-05-01,10,5,9,0,4,1,21,4,43,232,141,14,0
2019-06-01,28,10,10,4,10,1,80,11,57,379,95,12,0
2019-07-01,18,5,8,1,5,1,9,3,84,483,107,17,0
2019-08-01,6,3,9,1,3,1,21,6,47,259,94,14,1
2019-09-01,36,8,20,2,18,1,80,5,82,392,106,15,0
2019-10-01,25,9,26,1,17,1,49,8,71,439,87,11,2
2019-11-01,18,9,9,3,12,1,55,3,45,215,101,12,0
2019-12-01,14,5,5,2,5,1,13,6,49,294,103,11,0
2020-01-01,37,9,22,2,16,1,70,10,71,439,67,18,0
2020-02-01,12,4,12,2,7,1,42,15,71,563,85,11,0
2020-03-01,29,10,16,8,18,1,93,13,73,561,112,9,0
2020-04-01,30,8,13,2,16,1,42,5,71,383,74,14,0
