,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
project0141.csv,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,25.0,6.0,0.0
project0142.csv,60.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,22.0,6.0,0.0
project0143.csv,97.0,9.0,20.0,3.0,15.0,4.0,74.0,7.0,113.0,17.0,5.0,0.0
project0144.csv,12.5,2.0,3.0,0.0,3.5,1.0,6.0,1.0,6.5,12.5,3.0,0.0
project0145.csv,10.5,2.0,2.5,0.0,2.0,1.0,4.0,2.0,35.0,37.0,16.0,0.0
project0146.csv,33.0,4.0,6.0,0.0,3.0,1.0,17.0,7.0,93.0,67.0,10.0,1.0
project0147.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
project0148.csv,19.0,5.0,12.0,2.0,10.0,2.0,88.0,0.0,61.5,19.0,3.0,0.0
project0149.csv,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,190.0,21.0,2.0
project0150.csv,96.0,10.0,3.0,0.0,3.0,1.0,7.0,0.0,408.0,278.0,38.0,1.0
project0151.csv,69.0,6.0,22.0,2.0,19.5,1.0,98.0,6.0,307.0,97.0,8.0,1.0
project0152.csv,30.5,4.0,9.5,1.0,9.5,2.0,25.0,1.0,106.0,29.5,12.0,0.5
project0153.csv,13.5,7.0,8.5,2.0,5.0,2.5,17.0,0.0,497.5,83.5,39.5,1.5
project0154.csv,34.5,5.0,20.0,2.0,18.5,2.0,42.0,1.0,133.0,23.0,23.0,0.5
project0155.csv,243.5,8.0,13.5,2.0,10.5,2.0,33.5,0.0,113.5,121.5,22.0,1.0
project0156.csv,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,65.5,13.0,1.0
project0157.csv,29.0,5.0,8.0,1.0,6.0,3.0,28.0,3.0,33.0,36.0,7.0,0.0
project0158.csv,60.0,1.0,1.0,0.0,1.0,1.0,1.5,0.5,66.0,11.0,1.0,0.0
project0159.csv,35.0,3.0,6.0,1.0,5.0,1.0,8.0,4.0,75.0,35.0,5.0,0.0
project0160.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0
project0161.csv,47.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,12.0,23.0,1.0,0.0
project0162.csv,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,26.0,6.0,0.0
project0163.csv,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,61.5,10.5,0.0
project0164.csv,145.5,8.0,48.5,4.0,43.0,1.0,72.0,7.0,124.5,68.5,6.0,0.0
project0165.csv,20.0,3.0,4.0,0.0,3.0,1.0,5.0,2.0,31.0,39.0,4.0,0.0
project0166.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,87.0,31.0,1.0
project0167.csv,107.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,306.0,16.5,4.5,0.0
project0168.csv,39.0,11.0,0.0,0.0,0.0,0.0,0.0,2.5,17.5,23.5,14.0,1.0
project0169.csv,22.0,3.0,4.0,0.0,2.0,1.0,6.0,1.0,59.0,46.0,7.0,1.0
project0170.csv,29.0,6.0,14.5,2.0,12.0,4.0,33.0,0.0,35.5,8.5,3.0,0.0
project0171.csv,79.0,12.0,44.0,5.0,38.0,7.0,137.0,1.0,194.0,40.0,9.0,0.0
project0172.csv,27.0,3.0,2.0,1.0,1.0,1.0,16.0,0.0,126.0,8.0,5.0,0.0
project0173.csv,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
project0174.csv,11.5,2.0,1.5,0.0,0.0,0.0,6.5,1.0,37.0,100.0,18.5,1.0
project0175.csv,17.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,41.0,12.0,2.0,0.0
project0176.csv,52.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,26.5,6.0,0.0
project0177.csv,11.0,4.0,5.0,1.5,4.0,1.0,25.5,2.0,54.5,81.5,8.5,0.5
project0178.csv,15.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,19.0,32.0,6.0,1.0
project0179.csv,18.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,40.0,98.0,22.0,0.0
project0180.csv,19.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,13.0,3.0,0.0
project0181.csv,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,32.5,4.0,0.0
project0182.csv,291.0,21.0,2.0,1.0,1.0,1.0,2.0,4.0,196.0,34.0,7.0,2.0
project0183.csv,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,23.0,5.0,0.0
project0184.csv,53.0,3.0,6.5,0.0,5.5,1.0,21.5,0.0,21.0,35.0,1.0,0.0
project0185.csv,21.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,19.5,3.0,0.0
project0186.csv,58.0,15.5,33.5,4.0,27.0,5.0,277.5,3.5,201.0,60.0,14.0,0.0
project0187.csv,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,55.0,24.0,0.0
project0188.csv,8.0,1.0,2.0,0.0,1.5,1.0,3.0,0.0,20.0,61.5,5.5,0.0
project0189.csv,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,2.0,0.0
project0190.csv,287.0,22.0,37.0,5.0,29.5,1.0,197.5,7.5,433.5,70.5,16.0,1.0
project0191.csv,57.0,4.0,2.0,0.0,2.0,1.0,7.0,0.0,7.5,29.0,3.0,0.0
project0192.csv,112.5,7.5,28.0,1.0,26.5,4.0,18.5,0.0,17.5,8.5,3.0,0.0
project0193.csv,34.0,3.0,3.0,0.0,3.0,1.0,2.0,0.0,14.0,65.0,12.0,1.0
